event_time,connection_id,book_ticker_bid,local_book_bid,bid_delta,book_ticker_ask,local_book_ask,ask_delta,exactly_aligned
2026-08-07T03:33:30.449000+00:00,futures-public-1,1899.96,,,1899.97,,,False
2026-08-07T03:33:30.790000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:30.889000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.382000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.384000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.385000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.386000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.386000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.390000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.409000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.410000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.412000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.428000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.430000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.464000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.464000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.466000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.466000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
2026-08-07T03:33:31.468000+00:00,futures-public-1,1899.96,1899.96,0.00,1899.97,1899.97,0.00,True
