scope,session_id,aggTrade,bookTicker,depth,markPrice,stream_events,session_events,internal_events
SCIENTIFIC,microstructure-20260807T225438Z-usd_m_futures,93,1925,576,59,2653,2656,3
SCIENTIFIC,microstructure-20260814T011521Z-usd_m_futures,406,15066,576,58,16106,16109,3
SCIENTIFIC,microstructure-20260814T014523Z-usd_m_futures,7286,258877,17611,1799,285573,285576,3
SCIENTIFIC,microstructure-20260814T021620Z-usd_m_futures,51,1353,354,36,1794,1797,3
SCIENTIFIC_TOTAL,,7836,277221,19117,1952,306126,306138,12
OPERATIONAL_TOTAL_INCLUDING_REJECTED,,8117,286512,19692,2011,316332,316347,15
