market,mode,variant_id,period,scenario,net_return_percent,total_costs,net_funding,warnings,gross_pnl,net_pnl,trades,maximum_drawdown_percent,fees,funding_paid,funding_received
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,LOW,2.389566704887266636813774500,46.44223462305349004410714290,-4.013922336296469845943963,STRESS_COLLAPSE,289.4128274480766235714285704,238.95667048872666368137745,41,5.799159064752796105112037910,46.44223462305349004410714290,12.929964188294078967155338,8.916041851997609121211375
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,BASE,1.292357182881505843009123200,92.13388615255577212642857145,-3.963755918280870715516205,STRESS_COLLAPSE,225.3333603589872271428571419,129.23571828815058430091232,41,6.110751809197362532085945275,92.13388615255577212642857145,12.823912438120010280877798,8.860156519839139565361593
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,HIGH,-0.8351888111517753912231566200,181.2761386030328362657142857,-3.864670564415797142315657,STRESS_COLLAPSE,101.6219280522710942857142843,-83.518881115177539122315662,41,7.803314416695208929443341587,181.2761386030328362657142857,12.607857017601575829387187,8.743186453185778687071530
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,-4.882457371408068177307242440,351.1023588644509875885714284,-3.675230532016675856438512,STRESS_COLLAPSE,-133.4681477443391542857142866,-488.245737140806817730724244,41,11.04581786015239484259730544,351.1023588644509875885714284,12.191458437700775011460254,8.516227905684099155021742
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,LOW,-1.262938441944971730717351270,66.35586093629841754517857143,-12.398536231232400526556602,,-47.53944702696635499999999835,-126.293844194497173071735127,58,8.620581866298920156402857872,66.35586093629841754517857143,22.348770983005352337815078,9.950234751772951811258476
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-2.815257259058395221849622040,131.3117476550858646564285713,-12.223619680224961814247893,,-137.9903585705286957142857131,-281.525725905839522184962204,58,9.918154880241676708855790223,131.3117476550858646564285713,22.093062997287163463936860,9.869443317062201649688967
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,HIGH,-5.808809728544958503533645030,257.1271656361889546028571432,-11.884180322512327179078768,,-311.8696268957945685714285702,-580.880972854495850353364503,58,12.42744830485628009313155945,257.1271656361889546028571432,21.588876492681018237677870,9.704696170168691058599102
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,-11.40108321202387401161477093,493.3082595755835074400000000,-11.256058740512208007191393,,-635.5440028862916857142857132,-1140.108321202387401161477093,58,17.14205430931978975445162450,493.3082595755835074400000000,20.630531165249348102771849,9.374472424737140095580456
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,LOW,0.4887478457433215339400,4.784445300921320356000000000,0,,52.9385537806094860,48.8747845743321533940,4,0.2392887036840371234054720730,4.0637692062773326060,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,BASE,0.4331918068956389509200,9.566833947496729908000000000,0,,51.4449845038847340,43.3191806895638950920,4,0.2442956003932655760284189416,8.1258038143208389080,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,HIGH,-0.04636801483592784955200,18.89084468300108934720000000,0,,11.4303391631598988,-4.6368014835927849552,4,0.4337166610933363348279171385,16.0671406467526837552,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,STRESS,0.114566293630787271200,38.23365901676814638000000000,0,,43.9298446752906975,11.4566293630787271200,4,0.2809756132658742476116932842,32.4732153122119703800,0,0
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,LOW,1.601037540068613968586292700,4.968742820884211174821428572,-6.003915531199631252263577,,171.0764123589452392857142855,160.10375400686139685862927,4,2.063147345576799201353886308,4.968742820884211174821428572,6.003915531199631252263577,0
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,BASE,1.488628297472222966890500200,9.912651408879446692857142858,-5.990700508630542332378557,,164.7661816647322857142857140,148.86282974722229668905002,4,2.060078761019413073987926039,9.912651408879446692857142858,5.990700508630542332378557,0
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,HIGH,1.235862214875176160307367700,19.64143815770836564857142857,-5.923772061662666892120370,,149.1514317068886485714285713,123.58622148751761603073677,4,2.054071561280191978055911022,19.64143815770836564857142857,5.923772061662666892120370,0
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,STRESS,0.744836189024524909345549300,38.58143647469579190857142857,-5.796320558103271442587931,,118.8613759352515542857142855,74.48361890245249093455493,4,2.042549931594116315243385837,38.58143647469579190857142857,5.796320558103271442587931,0
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,LOW,-6.598875985023009549107875590,21.23555390494936793196428572,6.022111294838840878319583,,-644.6741558921904278571428562,-659.887598502300954910787559,19,7.715282901981953774244377439,21.23555390494936793196428572,0.118923106364787578706088,6.141034401203628457025671
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,BASE,-7.077468050821501345972795910,42.30479029853593643928571428,6.009849645933120413434693,,-671.4518644295473185714285706,-707.746805082150134597279591,19,8.001728477562098616341277496,42.30479029853593643928571428,0.118184539206769126977876,6.128034185139889540412569
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,HIGH,-8.024033296051532594613514360,83.95589667526909481428571428,5.985772119845409638648564,,-724.4332050497295742857142848,-802.403329605153259461351436,19,8.854633705334460356021225234,83.95589667526909481428571428,0.116730641530793867018946,6.102502761376203505667510
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,STRESS,-9.848482449601384369170358720,165.1578013768710746514285714,5.934712901131803448678413,,-825.6251564843991657142857135,-984.848244960138436917035872,19,10.49968040607920825075605978,165.1578013768710746514285714,0.113926765868999227029358,6.048639667000802675707771
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,LOW,-5.103488914320653951570209120,25.99037212907773045089285713,0.269827483447913151014801,,-484.6283467864355778571428563,-510.348891432065395157020912,23,7.548541664417515085995109595,25.99037212907773045089285713,5.848357117962327587901207,6.118184601410240738916008
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,BASE,-5.694196958089207008226396980,51.74389528855097596642857142,0.283592572261368000931731,,-517.9593930926310928571428566,-569.419695808920700822639698,23,7.864087305885190018687724051,51.74389528855097596642857142,5.819405805620756095081504,6.102998377882124096013235
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,HIGH,-6.887337078232448655973989280,102.4634028803396817114285714,0.348869726105893256886787,,-586.6191746690110771428571421,-688.733707823244865597398928,23,8.517216000146959661615336023,102.4634028803396817114285714,5.723786043664135018019831,6.072655769770028274906618
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,STRESS,-9.177001383460939361737289680,200.7674679538695441714285715,0.467756548540482283413888,,-717.4004269407648742857142850,-917.700138346093936173728968,23,10.40174928253439415856284742,200.7674679538695441714285715,5.542014249646773394397067,6.009770798187255677810955
