market,mode,variant_id,period,scenario,net_return_percent,maximum_drawdown_percent,trades,evaluation_start,evaluation_end,evaluated_candles,initial_capital,final_capital,gross_pnl,net_pnl,wins,win_rate_percent,profit_factor,expectancy,total_costs,fees,funding_paid,funding_received,net_funding,liquidation_count,buy_and_hold_return_percent,warnings
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,BASE,1.292357182881505843009123200,6.110751809197362532085945275,41,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10129.23571828815058430091232,225.3333603589872271428571419,129.23571828815058430091232,15,36.58536585365853658536585366,1.051460941256054819923400658,3.152090689954892300022251707,92.13388615255577212642857145,92.13388615255577212642857145,12.823912438120010280877798,8.860156519839139565361593,-3.963755918280870715516205,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-2.815257259058395221849622040,9.918154880241676708855790223,58,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,9718.474274094160477815037796,-137.9903585705286957142857131,-281.525725905839522184962204,19,32.75862068965517241379310345,0.9212120513022847309195078324,-4.853891825962750382499348345,131.3117476550858646564285713,131.3117476550858646564285713,22.093062997287163463936860,9.869443317062201649688967,-12.223619680224961814247893,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
