market,mode,variant_id,period,scenario,fold,train_start,train_end,validation_start,validation_end,net_return_percent,maximum_drawdown_percent,trades,total_costs,net_funding,long_pnl,short_pnl,locked_parameters,fold_count,positive_fold_count,positive_fold_percent,zero_trade_fold_count,zero_trade_fold_percent,median_return_percent,mean_return_percent,worst_fold_return_percent,best_fold_return_percent,best_trade_concentration_percent,net_pnl_without_top_three
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
