market,mode,variant_id,period,reason_code,count
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,TREND_NOT_ESTABLISHED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,NO_PULLBACK,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_OLD,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_LONG_APPROVED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BUY_APPROVED,22
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,POSITION_ALREADY_OPEN,466
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,REGIME_NOT_UP,16885
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_TOO_LOW,45
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,TREND_NOT_ESTABLISHED,1448
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7113
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,NO_PULLBACK,114
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_OLD,2
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8728
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,ENTER_LONG_APPROVED,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_NOT_ESTABLISHED,1448
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7197
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,NO_PULLBACK,45
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_OLD,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8728
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_LONG_APPROVED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_SHORT_APPROVED,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_NOT_ESTABLISHED,1448
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7113
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,NO_PULLBACK,114
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_OLD,2
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8728
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,ENTER_LONG_APPROVED,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,ENTER_SHORT_APPROVED,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_NOT_ESTABLISHED,1448
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7113
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,NO_PULLBACK,114
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_OLD,2
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8728
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_LONG_APPROVED,0
