configuration,source_experiment,market_type,mode,development_return_percent,validation_return_percent,status,maximum_drawdown_percent,development_positive_fold_percent,validation_positive_fold_percent,development_median_fold_return_percent,validation_median_fold_return_percent,trades,exposure_percent,fees,funding,liquidations,best_trade_concentration_percent,combined_with_other_market
SPOT_BASELINE_V1,spot-hypotheses-v1-20260730T194242Z-4f415516,SPOT,SPOT_LONG_ONLY,-1.08406495597853372674200,0.1099725981614681200900,NOT_CANDIDATE,1.634885048262596260379657563,37.500,25.00,0,-0.09235637934184631261600,47,0.1796637235185220237340996158,110.2198451442634216232,0,0,28.16301078979315537809807825,False
FUTURES_LONG_BASELINE_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_LONG_ONLY,-2.626945337538710113119888540,3.277221842206868036974908800,NOT_PROMISING,6.086583117132232234613679750,25.00,50.0,0,0.82121000081422420085657250,33,3.645326901187660707800893446,79.67442792022648507642857143,-25.805251157881035395212257,0,10.78097100687744807232967344,False
FUTURES_SHORT_MIRRORED_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_SHORT_ONLY,-5.876577035053741210874595930,3.554549371215633302619632200,NOT_PROMISING,13.31308703255055410567654710,0,50.0,-0.713023580880584500570704330,0.712381835521340081771304600,81,5.278752450913764777798920865,183.2343416935666577521428572,9.496046345950051212360812,0,4.243166152605108900236711235,False
FUTURES_LONG_SHORT_BASELINE_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_LONG_SHORT,-8.349147930857090593966449070,6.94826165718588115676206200,NOT_PROMISING,16.14557605584591078764025176,0,100,-0.626095668711403203885714295,1.43898946456646174536418800,114,8.924079352101425485599814315,262.2032237685055730335714284,-16.625892320892283544010129,0,3.135664018363775149036179903,False
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_LONG_SHORT,-11.01357303312639891256246804,11.20603503351857587253186330,NOT_PROMISING,14.34995781462456556556613161,25.00,75.00,-0.4975781094041529507090785650,2.717947271067597289284273950,144,3.749059887681409440086877182,329.2855185096814895478571429,-15.026403839988798740917620,0,3.948645046292556428081014445,False
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_LONG_SHORT,-9.226599249361077998073691990,7.528211213950017918143616200,NOT_PROMISING,14.29935702731944168041057136,0,100,-0.626095668711403203885714295,1.314970964335147988650455500,122,5.07106691508633698783482462,279.6427361438561555028571427,-15.910241936978818204436144,0,3.821645016857544872856464678,False
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,CURRENT_FUTURES_REAL_1X,USD_M_FUTURES,FUTURES_LONG_SHORT,-9.60079040130197366421309200,13.22407835655042469842937430,NOT_PROMISING,16.28961553612919339128340817,12.500,100,-0.607535977950899574378110720,3.238374542745033050818837100,104,10.17978275825294893804773087,240.9085712498592591310714286,-19.931306680182202447300322,0,4.122471665303985612220547441,False
