configuration,period,exit_reason,count,net_pnl
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,STOP_LOSS,11,-1071.076491987768501125305146
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TAKE_PROFIT,11,1858.413654539427762472903443
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TIME_EXIT,14,-34.516041156657469533236677
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,STOP_LOSS,55,-4700.309979378336741894400198
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,TAKE_PROFIT,19,3740.230939248139375473091024
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,TIME_EXIT,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,STOP_LOSS,16,-1626.786105812838294155907351
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,TAKE_PROFIT,14,2949.193941467880763998844769
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,TIME_EXIT,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
