symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-01-31T16:00:00+00:00,-0.00001151,
ETHUSDT,2022-02-01T00:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-02-01T08:00:00+00:00,-0.00010276,
ETHUSDT,2022-02-01T16:00:00.004000+00:00,-0.00020797,
ETHUSDT,2022-02-02T00:00:00.004000+00:00,-0.00006256,
ETHUSDT,2022-02-02T08:00:00+00:00,-1.7E-7,
ETHUSDT,2022-02-02T16:00:00.002000+00:00,0.00000407,
ETHUSDT,2022-02-03T00:00:00.002000+00:00,-0.00038034,
ETHUSDT,2022-02-03T08:00:00+00:00,-0.00005850,
ETHUSDT,2022-02-03T16:00:00+00:00,-0.00007881,
ETHUSDT,2022-02-04T00:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-02-04T08:00:00.005000+00:00,0.00008786,
ETHUSDT,2022-02-04T16:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-02-05T00:00:00.014000+00:00,0.00010000,
ETHUSDT,2022-02-05T08:00:00+00:00,0.00007456,
ETHUSDT,2022-02-05T16:00:00+00:00,0.00004351,
ETHUSDT,2022-02-06T00:00:00+00:00,0.00010000,
ETHUSDT,2022-02-06T08:00:00+00:00,0.00010000,
ETHUSDT,2022-02-06T16:00:00+00:00,0.00010000,
ETHUSDT,2022-02-07T00:00:00.003000+00:00,-0.00000725,
ETHUSDT,2022-02-07T08:00:00.014000+00:00,0.00008150,
ETHUSDT,2022-02-07T16:00:00.003000+00:00,0.00001491,
ETHUSDT,2022-02-08T00:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-02-08T08:00:00.003000+00:00,0.00001620,
ETHUSDT,2022-02-08T16:00:00.002000+00:00,0.00007718,
ETHUSDT,2022-02-09T00:00:00+00:00,0.00010000,
ETHUSDT,2022-02-09T08:00:00.005000+00:00,-0.00000162,
ETHUSDT,2022-02-09T16:00:00.001000+00:00,0.00007116,
ETHUSDT,2022-02-10T00:00:00.012000+00:00,-0.00002777,
ETHUSDT,2022-02-10T08:00:00+00:00,-0.00003259,
ETHUSDT,2022-02-10T16:00:00.006000+00:00,0.00001908,
ETHUSDT,2022-02-11T00:00:00+00:00,-0.00011327,
ETHUSDT,2022-02-11T08:00:00.009000+00:00,0.00010000,
ETHUSDT,2022-02-11T16:00:00.015000+00:00,-0.00004783,
ETHUSDT,2022-02-12T00:00:00.020000+00:00,0.00010000,
ETHUSDT,2022-02-12T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-02-12T16:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-02-13T00:00:00.022000+00:00,0.00001665,
ETHUSDT,2022-02-13T08:00:00.001000+00:00,0.00006235,
ETHUSDT,2022-02-13T16:00:00.007000+00:00,-0.00002875,
ETHUSDT,2022-02-14T00:00:00.005000+00:00,0.00009155,
ETHUSDT,2022-02-14T08:00:00.013000+00:00,0.00006358,
ETHUSDT,2022-02-14T16:00:00.019000+00:00,0.00010000,
ETHUSDT,2022-02-15T00:00:00.012000+00:00,0.00007379,
ETHUSDT,2022-02-15T08:00:00.005000+00:00,0.00004572,
ETHUSDT,2022-02-15T16:00:00.011000+00:00,-0.00005099,
ETHUSDT,2022-02-16T00:00:00.009000+00:00,0.00010000,
ETHUSDT,2022-02-16T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-02-16T16:00:00.014000+00:00,0.00010000,
ETHUSDT,2022-02-17T00:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-02-17T08:00:00+00:00,0.00001611,
ETHUSDT,2022-02-17T16:00:00.010000+00:00,0.00004771,
ETHUSDT,2022-02-18T00:00:00+00:00,-0.00003865,
ETHUSDT,2022-02-18T08:00:00.002000+00:00,-0.00009187,
ETHUSDT,2022-02-18T16:00:00+00:00,0.00003508,
ETHUSDT,2022-02-19T00:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-02-19T08:00:00+00:00,0.00007039,
ETHUSDT,2022-02-19T16:00:00.023000+00:00,0.00004883,
ETHUSDT,2022-02-20T00:00:00.001000+00:00,-0.00003349,
ETHUSDT,2022-02-20T08:00:00.003000+00:00,0.00005414,
ETHUSDT,2022-02-20T16:00:00.001000+00:00,0.00003264,
ETHUSDT,2022-02-21T00:00:00+00:00,0.00007012,
ETHUSDT,2022-02-21T08:00:00.001000+00:00,-0.00014003,
ETHUSDT,2022-02-21T16:00:00.005000+00:00,0.00007007,
ETHUSDT,2022-02-22T00:00:00.005000+00:00,0.00000865,
ETHUSDT,2022-02-22T08:00:00+00:00,-0.00003630,
ETHUSDT,2022-02-22T16:00:00+00:00,0.00005962,
ETHUSDT,2022-02-23T00:00:00.002000+00:00,0.00009188,
ETHUSDT,2022-02-23T08:00:00.005000+00:00,-0.00003926,
ETHUSDT,2022-02-23T16:00:00.010000+00:00,-0.00003644,
ETHUSDT,2022-02-24T00:00:00.008000+00:00,-0.00001113,
ETHUSDT,2022-02-24T08:00:00.003000+00:00,-0.00003560,
ETHUSDT,2022-02-24T16:00:00.001000+00:00,-0.00006140,
ETHUSDT,2022-02-25T00:00:00+00:00,0.00010000,
ETHUSDT,2022-02-25T08:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-02-25T16:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-02-26T00:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-02-26T08:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-02-26T16:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-02-27T00:00:00.012000+00:00,0.00010000,
ETHUSDT,2022-02-27T08:00:00+00:00,0.00000507,
ETHUSDT,2022-02-27T16:00:00+00:00,0.00010000,
ETHUSDT,2022-02-28T00:00:00+00:00,-0.00015064,
ETHUSDT,2022-02-28T08:00:00.001000+00:00,-0.00009020,
ETHUSDT,2022-02-28T16:00:00.002000+00:00,0.00005573,
ETHUSDT,2022-03-01T00:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-01T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-03-01T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-02T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-02T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-02T16:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-03T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-03T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-03T16:00:00.005000+00:00,0.00010000,
ETHUSDT,2022-03-04T00:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-03-04T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-04T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-05T00:00:00.006000+00:00,0.00005192,
ETHUSDT,2022-03-05T08:00:00.004000+00:00,0.00001520,
ETHUSDT,2022-03-05T16:00:00+00:00,0.00003064,
ETHUSDT,2022-03-06T00:00:00.004000+00:00,-0.00008875,
ETHUSDT,2022-03-06T08:00:00+00:00,0.00005669,
ETHUSDT,2022-03-06T16:00:00.013000+00:00,0.00007500,
ETHUSDT,2022-03-07T00:00:00.008000+00:00,0.00003909,
ETHUSDT,2022-03-07T08:00:00.006000+00:00,-0.00001000,
ETHUSDT,2022-03-07T16:00:00+00:00,0.00008669,
ETHUSDT,2022-03-08T00:00:00.008000+00:00,-0.00010024,
ETHUSDT,2022-03-08T08:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-08T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-09T00:00:00.008000+00:00,0.00006224,
ETHUSDT,2022-03-09T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-09T16:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-03-10T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-10T08:00:00.017000+00:00,0.00005560,
ETHUSDT,2022-03-10T16:00:00+00:00,-0.00003951,
ETHUSDT,2022-03-11T00:00:00.008000+00:00,0.00002542,
ETHUSDT,2022-03-11T08:00:00+00:00,-0.00005910,
ETHUSDT,2022-03-11T16:00:00.001000+00:00,0.00008211,
ETHUSDT,2022-03-12T00:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-03-12T08:00:00.001000+00:00,0.00005025,
ETHUSDT,2022-03-12T16:00:00.002000+00:00,0.00006255,
ETHUSDT,2022-03-13T00:00:00.008000+00:00,0.00002116,
ETHUSDT,2022-03-13T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-13T16:00:00.002000+00:00,-0.00002698,
ETHUSDT,2022-03-14T00:00:00.014000+00:00,-0.00010352,
ETHUSDT,2022-03-14T08:00:00.005000+00:00,0.00010000,
