configuration,period,regime,trades,net_pnl,win_rate_percent,profit_factor,expectancy
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,TRENDING_UP,21,-262.6945337538710113119888575,28.57142857142857142857142857,0.7861377494740190443414079675,-12.50926351208909577676137417
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,TRENDING_DOWN,0,0,,,
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,TRENDING_UP,12,327.7221842206868036974908888,50.0,1.640186318950690464326535263,27.3101820183905669747909074
FUTURES_LONG_BASELINE_1X,VALIDATION,TRENDING_DOWN,0,0,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,RANGING,0,0,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,UNKNOWN,0,0,,,
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,TRENDING_UP,0,0,,,
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,TRENDING_DOWN,60,-587.6577035053741210874595476,31.66666666666666666666666667,0.8464310056482776214907438682,-9.794295058422902018124325793
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,TRENDING_UP,0,0,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,TRENDING_DOWN,21,355.4549371215633302619632140,42.85714285714285714285714286,1.285026505597352111734122312,16.92642557721730144104586733
FUTURES_SHORT_MIRRORED_1X,VALIDATION,RANGING,0,0,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,TRENDING_UP,21,-286.9893539784951733047365451,28.57142857142857142857142857,0.7741701505197798641663976093,-13.66615971326167491927316881
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,TRENDING_DOWN,60,-547.9254391072138860919083340,31.66666666666666666666666667,0.8527508394448665129755454818,-9.132090651786898101531805567
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,TRENDING_UP,12,336.0210003625759049795244346,50.0,1.637851088155776179037292187,28.00175003021465874829370288
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,TRENDING_DOWN,21,358.8051653560122106966817440,42.85714285714285714285714286,1.283535062339901927303570886,17.08596025504820050936579733
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,RANGING,0,0,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,TRENDING_UP,35,-402.1782187905829421103788816,40.0,0.5932311656733869936726634686,-11.49080625115951263172511090
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,TRENDING_DOWN,67,-699.1790845220569491458679221,34.32835820895522388059701493,0.7600821861279855748780037077,-10.43550872420980521113235705
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,TRENDING_UP,19,398.9748380557008612095047694,52.63157894736842105263157895,1.969104603752896590748113144,20.99867568714215058997393523
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,TRENDING_DOWN,23,721.6286652961567260436815571,52.17391304347826086956521739,1.905873318949851378528780884,31.37515936070246634972528509
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,RANGING,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,TRENDING_UP,26,-25.11612902410208578150728033,38.46153846153846153846153846,0.9732879399073974824615920013,-0.9660049624654648377502800127
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,TRENDING_DOWN,60,-897.5437959120057140258619146,30.0,0.7192139160479349965933380050,-14.95906326520009523376436524
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TRENDING_UP,14,390.4702068985710059133876096,57.14285714285714285714285714,2.409309598546949235167046932,27.8907290641836432795276864
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TRENDING_DOWN,22,362.3509144964307859009740096,40.90909090909090909090909091,1.347161389814626459363522784,16.47049611347412663186245498
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,RANGING,0,0,,,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,TRENDING_UP,21,-38.16256001011242647379998309,28.57142857142857142857142857,0.9691391019507859504982065056,-1.817264762386306022561903957
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,TRENDING_DOWN,53,-921.9164801200849399475091907,24.52830188679245283018867925,0.7338356106878652051929389678,-17.39465056830348943297187152
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,RANGING,0,0,,,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,UNKNOWN,0,0,,,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,TRENDING_UP,11,688.4466199931601690973358738,54.54545454545454545454545455,2.554314734324946510136830385,62.58605636301456082703053398
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,TRENDING_DOWN,19,633.9612156618823007456015438,42.10526315789473684210526316,1.535503549432147566922559046,33.36637977167801582871587073
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,RANGING,0,0,,,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,UNKNOWN,0,0,,,
