configuration,period,scenario,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,1,21,21,0,-2.626945337538710113119888540,-1.998864962039499242857142835,6.086583117132232234613679750,28.57142857142857142857142857,0.7861377494740190443414079675,-12.50926351208909577676137417,48.91459864954587639785714286,14.962459863101320311870990,1.069020962726109683453559,-13.893438900375210628417431,0,0,2.610288505571668447565257213,0,0.6145736775933418042361884777,0.006209028759631506477560008331,2.00E+4,19.48032114178333470815080688,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,1,12,12,0,3.277221842206868036974908800,3.703938257488732371428571435,2.299712349556428549833140425,50.0,1.640186318950690464326535263,27.3101820183905669747909074,30.75982927068060867857142857,11.911812257505824766794826,0,-11.911812257505824766794826,0,0,4.680365296803652968036529680,0,1.159579768802274661821408726,0.01162331655939894415513322643,2.00E+4,23.17980357870448238838082194,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,1,60,0,60,-5.876577035053741210874595930,-4.547960604544986500000000002,13.31308703255055410567654710,31.66666666666666666666666667,0.8464310056482776214907438682,-9.794295058422902018124325793,134.9854055091027971650000001,12.943624343333017401024642,15.067386801560343478565095,2.123762458227326077540453,0,0,0,4.621431842466798961990535796,1.042036433545061072004973615,0.01040331867908349195934077805,17020.21016344925001681576646,6.342536067277658738235154372,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_SHORT_MIRRORED_1X,VALIDATION,BASE_COST,1,21,0,21,3.554549371215633302619632200,3.963315894183044657142857121,6.077228684631803396158834453,42.85714285714285714285714286,1.285026505597352111734122312,16.92642557721730144104586733,48.24893618446386058714285713,1.075129007431798430806350,8.447412895154523565626709,7.372283887722725134820359,0,0,0,5.936073059360730593607305936,1.389321513341478206092979806,0.01381678407462885162106055089,17631.24397322750695966356690,12.78157880634528213582566880,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,1,81,21,60,-8.349147930857090593966449070,-6.413678630005700385714285694,16.14557605584591078764025176,30.86419753086419753086419753,0.8327460229967638274822862876,-10.30759003809517357279808493,181.5989191244185076692857141,27.748637539531628640453091,15.800626578811115484522496,-11.948010960720513155930595,0,0,2.610288505571668447565257213,4.621431842466798961990535796,1.656610110942904013221173407,0.01661234743676318750132399770,17020.21016344925001681576646,4.941936179141864728044874603,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,1,33,12,21,6.94826165718588115676206200,7.801083517228469514285714271,6.088702139688280549993824723,45.45454545454545454545454545,1.387679010919622077537647788,21.0553383551087307780668539,80.60430464408706536428571430,13.307235008394099977690020,8.629353648222329589610486,-4.677881360171770388079534,0,0,4.680365296803652968036529680,5.936073059360730593607305936,2.548901283835742515905545192,0.02544010065130933709868678144,17631.24397322750695966356690,8.376672916303145970971071013,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,BASE_COST,1,102,35,67,-11.01357303312639891256246804,-8.702078416757409099999999992,14.34995781462456556556613161,36.27450980392156862745098039,0.7178147602287913614817686325,-10.79762062071215579662987063,221.7763086066214400364285715,15.463452546180213652061422,6.090299515902672432243189,-9.373153030277541219818233,0,0,1.148679590902152343153716990,2.148526942451534116928713174,0.7534828602573471912807341849,0.007528466560998500519622170920,17140.19069079168628506087307,6.847900047943993389250971621,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,BASE_COST,1,42,19,23,11.20603503351857587253186330,12.33765964064628894285714284,2.862806101118661859374092302,52.38095238095238095238095238,1.927417509011707574775595927,26.68103579409184731555205536,107.5092099030600495114285714,7.615600306606618627638088,1.962349496895361106538701,-5.653250809711257521099387,0,0,2.134703196347031963470319635,2.066210045662100456621004566,0.9976201445036389198831820073,0.009989404462487776923542314274,17631.24397322750695966356690,8.698736133748201713011297397,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,BASE_COST,1,86,26,60,-9.226599249361077998073691990,-7.220247011885517685714285732,14.29935702731944168041057136,32.55813953488372093023255814,0.7769625506362871137656711340,-10.72860377832683488148103716,191.0200884297231487799999998,18.375848529060367563963149,8.760713211227485108022527,-9.615135317832882455940622,0,0,1.484506182262250038162112655,2.927034040604487864448175851,1.017123192510252517660303438,0.01018233946665776001689812897,17020.21016344925001681576646,6.035945065656843622216519782,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,BASE_COST,1,36,14,22,7.528211213950017918143616200,8.477388757282807342857142840,5.115499416965578048330914675,47.22222222222222222222222222,1.569965659058479467802880189,20.91169781652782755039893386,88.62264771413300672285714286,8.825607001566009565878128,2.530500382420073817382606,-6.295106619145935748495522,0,0,2.728310502283105022831050228,3.002283105022831050228310502,1.355068433886586074025774057,0.01357802490301532522829502643,17631.24397322750695966356690,9.745181123150934985243496672,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
