configuration,period,scenario,fold,train_start,train_end,validation_start,validation_end,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,dataset_hash
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,3,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,1,5,5,0,1.64242000162844840171314500,1.842744207660560400000000003,1.518928865305780996138503648,60.0,2.084165838740286423693994778,32.84840003256896803426289848,12.76951955738487972000000000,7.262901045826320108685508,0,-7.262901045826320108685508,0,0,12.36111111111111111111111111,0,3.087678094559814395700864103,0.03100943330635561875804842334,2.00E+4,36.32731368658599152596466039,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,4,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,1,1,1,0,-0.7562192513051147485714285700,-0.7266844601338422857142857154,0.8715427684545084867525613293,0,0E+26,-75.62192513051147485714285725,2.463665770209462685714285714,0.489813346917783600000000,0,-0.489813346917783600000000,0,0,0.7870370370370370370370370370,0,0.1971028153785146371622587255,0.001958432049687634301384060079,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,1,2022-01-01T00:00:00+00:00,2022-12-31T23:59:59.999000+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,1,1,0,1,-0.8953537486328656232128372200,-0.8704966815654836571428571505,1.429763099052140938889840755,0,0E+26,-89.53537486328656232128372191,2.543524821381067782857142858,0.012854524529590272000000,0.070672639172461447859136,0.057818114642871175859136,0,0,0,0.7870370370370370370370370370,0.1967834451739286988508430159,0.00196781593243425107049659265,19319.55283589579180663776641,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,8268dabcb776e6f626bd22998d9f2c2eb320457c0e407c0dcd8adf2c93df5760
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,2,2022-04-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,73134a10050fdc11a1356f6b6a9d583b1f4da2d950396861f66e0af939671b09
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,3,2022-06-30T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,1,1,0,1,-0.5306934131283033779285714400,-0.5002174989222711428571428636,0.6089808355074693446076696317,0,0E+26,-53.06934131283033779285714350,2.525010865323253607142857143,0.522580555279969900000000,0,-0.522580555279969900000000,0,0,0,1.018518518518518518518518519,0.2547076410108299573174160457,0.002548765660697389758882511314,19476.02391204027411642248394,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,ff093c8dfc3fd953e6501cab63095d3c42a2c51693c331958791f20fe9bf2f37
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,4,2022-09-28T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,dd967b08f692916f8fafb65395f3813766cd131990e02da75d8137a837488bb0
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,5,2022-12-27T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,1,3,0,3,-2.597903528405098612335771430,-2.554839033195572442857142865,2.946702305454544352067035182,0,0E+25,-86.59678428016995374452571457,7.383246394168564352142857144,0,3.076796873215947404280000,3.076796873215947404280000,0,0,0,4.583333333333333333333333333,1.135008749411907735763274542,0.01138088096434338826732313827,18547.63082496000762610630673,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f766fa68dd9c46fb91528b444b0655c7e6d6a98c5ae767dc4fb61e8466a3e2fd
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,6,2023-03-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,1,6,0,6,-2.983772038793847771695856700,-2.858467867539236371428571428,3.644532289562451423462460612,16.66666666666666666666666667,0.3483451592648190382082030525,-49.7295339798974628615976124,13.74064657449053741857142857,0,1.210229449029397391842897,1.210229449029397391842897,0,0,0,2.777777777777777777777777778,0.5796360339896124257481388653,0.005897079522420910253340866310,18058.91147901734251427920479,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,fa80a0506c0acb70eeb5ac7a7984f200a68b476249c72690e37ebfd017c30578
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,7,2023-06-25T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,1,6,0,6,-0.5049143200168101603190112500,-0.3808966909878471285714285603,2.828156482838222483458348172,33.33333333333333333333333333,0.8662338052757952133962612511,-8.415238666946836005316853917,13.22640161518472842642857143,0.125068511464457548295608,0.949707223752882799965912,0.824638712288425251670304,0,0,0,3.148148148148148148148148148,0.7079755896334953156433840769,0.007151756491671202125680331329,17821.24967437682461262070514,58.69441376007470646322622875,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f6d1bfb5905266a4f562953ca0d27e1a5cb85f39187c9b53613f38915e2a7da5
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,BASE_COST,8,2023-09-23T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999000+00:00,1,4,0,4,-1.165922087753990864164147710,-1.080147121805462128571428566,2.178280790947162242623838491,25.00,0.5357024124610607873048502649,-29.1480521938497716041036930,9.614539723747493206428571428,0,1.037043128894619647156656,1.037043128894619647156656,0,0,0,2.453703703703703703703703704,0.5989121957299291092619421005,0.005975928359293669782831123412,18847.81971583344156442308912,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,d9fcd6c00cf3517d55ead1dec935d3bcbab827f03a2ca4f164db04538e99edc9
