configuration,period,scenario,fold,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,train_start,train_end,validation_start,validation_end,dataset_hash,fold_count,positive_fold_percent,mean_return_percent,median_return_percent,funding_unchanged_by_cost_scenario
FUTURES_LONG_BASELINE_1X,VALIDATION,LOW_COST,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,LOW_COST,2,1,6,6,0,2.580813464076397544447964200,2.696402208090645864285714290,1.734319706453445201903708235,50.0,1.957937924234561977645583587,43.01355773460662574079940302,7.579127588651677799107142858,3.979746812773154184667868,0,-3.979746812773154184667868,0,0,5.833333333333333333333333333,0,1.420792696845220881459533970,0.01420462563502113712614985561,2.00E+4,37.78037678160587215941178568,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,LOW_COST,3,1,5,5,0,1.796212183359895352500097200,1.932810226367817664285714288,1.490034908982951406788258204,60.0,2.233495400202126573278813736,35.92424366719790705000194318,6.390896493556963329107142858,7.268907807235267849454570,0,-7.268907807235267849454570,0,0,12.36111111111111111111111111,0,3.087214472924579137530525858,0.03101562483210437912183388916,2.00E+4,36.24379768390892950956119523,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,LOW_COST,4,1,1,1,0,-0.7269096069914044375142857200,-0.7096871817120850285714285725,0.8571629337454030346114210849,0,0E+26,-72.69096069914044375142857154,1.232257809348686254285714286,0.489984718583254640000000,0,-0.489984718583254640000000,0,0,0.7870370370370370370370370370,0,0.1970733194645718024799031990,0.001958824079858433780728857537,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,LOW_COST,CONSOLIDATED,,12,,,,,,,,,15.20228189155732738250000001,,,-11.738639338591676674122438,,,,,,,,,,,,,,,,,4,50.0,0.912529010111222114858443920,0.898106091679947676250048600,True
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,2,1,6,6,0,2.382622472576261059246990800,2.573506575493295828571428576,1.777442620678541212700572087,50.0,1.856687127281215978321268189,39.71037454293768432078318102,15.12226682168817716142857142,3.966143470015299771015200,0,-3.966143470015299771015200,0,0,5.833333333333333333333333333,0,1.417959260547005126853881222,0.01417114065970632887707427969,2.00E+4,37.69039331643234475279348948,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,3,1,5,5,0,1.64242000162844840171314500,1.842744207660560400000000003,1.518928865305780996138503648,60.0,2.084165838740286423693994778,32.84840003256896803426289848,12.76951955738487972000000000,7.262901045826320108685508,0,-7.262901045826320108685508,0,0,12.36111111111111111111111111,0,3.087678094559814395700864103,0.03100943330635561875804842334,2.00E+4,36.32731368658599152596466039,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,4,1,1,1,0,-0.7562192513051147485714285700,-0.7266844601338422857142857154,0.8715427684545084867525613293,0,0E+26,-75.62192513051147485714285725,2.463665770209462685714285714,0.489813346917783600000000,0,-0.489813346917783600000000,0,0,0.7870370370370370370370370370,0,0.1971028153785146371622587255,0.001958432049687634301384060079,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,CONSOLIDATED,,12,,,,,,,,,30.35545214928251956714285713,,,-11.718857862759403479700708,,,,,,,,,,,,,,,,,4,50.0,0.8172058057248986780971768075,0.82121000081422420085657250,True
FUTURES_LONG_BASELINE_1X,VALIDATION,HIGH_COST,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,HIGH_COST,2,1,6,6,0,1.989572639050286043643558400,2.329997012137786171428571433,1.863573698281503902702233512,50.0,1.673365274118578745900386096,33.1595439841714340607259730,30.10297433452235165714285714,3.939462974227661121358448,0,-3.939462974227661121358448,0,0,5.833333333333333333333333333,0,1.412429739021693050780640316,0.01410562145926657265219279675,2.00E+4,37.52564246902040608148881328,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_BASELINE_1X,VALIDATION,HIGH_COST,3,1,5,5,0,1.335715861409151609464546500,1.663125578832379628571428574,1.576656787778008836424953613,60.0,1.818501135229839475073301665,26.71431722818303218929092852,25.49005795200764932285714286,7.250913790315152587831072,0,-7.250913790315152587831072,0,0,12.36111111111111111111111111,0,3.088605220339709299118209491,0.03099706206052705360332235942,2.00E+4,36.50932011333742522844766078,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
