scope,session_id,aggTrade,bookTicker,depth,markPrice,stream_events,session_events,internal_events
NEW,microstructure-20260814T035126Z-usd_m_futures,7137,214385,17602,1799,240923,240926,3
NEW,microstructure-20260814T042226Z-usd_m_futures,82,2082,435,44,2643,2646,3
NEW_TOTAL,,7219,216467,18037,1843,243566,243572,6
SCIENTIFIC_TOTAL,,23721,738964,55065,5625,823375,823399,24
OPERATIONAL_TOTAL_INCLUDING_REJECTED,,24002,748255,55640,5684,833581,833608,27
