exit_reason,count,average_net_pnl,median_net_pnl,win_rate,mfe_mean,mae_mean,costs,holding_mean,pnl_contribution_percent_of_absolute_pnl,result_without_exit_type
STOP_LOSS,23,-15.69017908905724511525217391,-16.450557657197625287,0,49.14516008695652173913043478,-79.73049208695652173913043478,53.21740752579299895780000000,23,-53.93977349061692358399245117,308.1574613514274993670
TAKE_PROFIT,10,30.8157461351427499367,31.1966157619126461537,100,185.01921710,-33.97978290,24.35027869926689713300000000,31.7,46.06022650938307641600754883,-360.8741190483166376508
