scope,total_candles_evaluated,eligible_after_warmup,trending_up,ema_confirmed,volume_confirmed,volatility_acceptable,risk_reward_acceptable,buy_signals,risk_approved,orders_executed,closed_trades,eligible_after_warmup_percent,trending_up_percent,ema_confirmed_percent,volume_confirmed_percent,volatility_acceptable_percent,risk_reward_acceptable_percent,buy_signals_percent,risk_approved_percent,orders_executed_percent
all_segments,34961,34961,443,17565,12509,34925,158,158,33,33,33,100,1.267126226366522696719201396,50.24169789193672949858413661,35.77986899688224021052029404,99.89702811704470695918308973,0.4519321529704527902519950802,0.4519321529704527902519950802,0.09439089270901862074883441549,0.09439089270901862074883441549
development,27949,27949,284,13870,9975,27913,93,93,21,21,21,100,1.016136534401946402375755841,49.62610469068660774983004759,35.69000679809653297076818491,99.87119396042792228702279151,0.3327489355612007585244552578,0.3327489355612007585244552578,0.07513685641704533257003828402,0.07513685641704533257003828402
validation,7012,7012,159,3695,2534,7012,65,65,12,12,12,100,2.267541357672561323445521962,52.69537934968625213918996007,36.13804905875641756988020536,100,0.9269823160296634341129492299,0.9269823160296634341129492299,0.1711351968054763262977752424,0.1711351968054763262977752424
