segment,regime,candle_count,eligible_candle_count,signal_count,entry_count,closed_trade_count,win_rate,net_pnl,net_return,profit_factor,expectancy,mfe,mae,drawdown,exposure,costs,hold_reasons,exit_reasons
development,RANGING,27056,27056,0,0,0,,0,0,,,,,1.270470357127358153094159219,0.1052227063960595230668040087,0,"POSITION_ALREADY_OPEN,REGIME_NOT_UP",
development,TRENDING_DOWN,609,609,0,0,0,,0,0,,,,,1.270470357127358153094159219,0.1052227063960595230668040087,0,REGIME_NOT_UP,
development,TRENDING_UP,284,284,93,21,21,28.57142857142857142857142857,-42.2717714192309588942,-0.42271771419230958894200,0.8154561047909034480187100508,-2.012941496153855185438095238,81.70432733333333333333333333,-51.89757742857142857142857143,1.270470357127358153094159219,0.1052227063960595230668040087,49.22640070373603190120000000,"POSITION_ALREADY_OPEN,VOLUME_TOO_LOW","STOP_LOSS,TAKE_PROFIT"
validation,RANGING,6758,6758,0,0,0,,0,0,,,,,0.9031906129122404522900706727,0.1885282704133224808770927790,0,"POSITION_ALREADY_OPEN,REGIME_NOT_UP",
validation,TRENDING_DOWN,95,95,0,0,0,,0,0,,,,,0.9031906129122404522900706727,0.1885282704133224808770927790,0,REGIME_NOT_UP,
validation,TRENDING_UP,159,159,65,12,12,33.33333333333333333333333333,-10.4448862776581793896,-0.10444886277658179389600,0.9207600113021288602727264718,-0.8704071898048482824666666667,105.39499825,-90.31250175,0.9031906129122404522900706727,0.1885282704133224808770927790,28.34128552132386418960000000,"POSITION_ALREADY_OPEN,VOLUME_TOO_LOW","STOP_LOSS,TAKE_PROFIT"
