reason_code,count,percent,horizon_candles,future_return_mean,maximum_favorable_movement_mean,maximum_adverse_movement_mean,regimes,post_event_only
POSITION_ALREADY_OPEN,732,2.103266959744849581932592018,1,0.0001837744826321144193402123824,0.007056033500367278015916707557,-0.007035723530295537749621052383,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,732,2.103266959744849581932592018,3,0.0007804809876212696969482253512,0.01294378346998637500821241103,-0.01215550517542675279981352023,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,732,2.103266959744849581932592018,6,0.001498126851195455955616837918,0.01843272283820782404041301663,-0.01673605461631831426851237488,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,732,2.103266959744849581932592018,12,0.003187356290769641951403380582,0.02706623501807378141153852940,-0.02257836900070132672695426993,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,732,2.103266959744849581932592018,24,0.005577583331149604217557105296,0.03947106219232019077739583915,-0.03146429038519903401750642443,"RANGING,TRENDING_UP",True
REGIME_NOT_UP,33981,97.63813464356520989569864667,1,0.00001397199408993409552595357375,0.004703545864231171628834591295,-0.004910705069323995350332570148,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,33981,97.63813464356520989569864667,3,0.00003703779598969734752028674074,0.008329789352854339886913095650,-0.008830688447303721746350752344,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,33981,97.63813464356520989569864667,6,0.00007873732009389051654908525734,0.01204043267817579769164202328,-0.01282944848296915489698854305,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,33981,97.63813464356520989569864667,12,0.0001436701400386839981783668448,0.01747404107754489797228592611,-0.01859252503395934346704728901,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,33981,97.63813464356520989569864667,24,0.0003729933495050289782274440887,0.02534730642019341159734666792,-0.02680259257320576095537787953,"RANGING,TRENDING_DOWN",True
VOLUME_TOO_LOW,90,0.2585983966899405223687613137,1,0.0004542666144298543942589319256,0.006290454363063966049254391489,-0.00606177274592787763004356716,TRENDING_UP,True
VOLUME_TOO_LOW,90,0.2585983966899405223687613137,3,0.0009863666815333872706453115522,0.01148663640728237441133079199,-0.01017400660506888617048603865,TRENDING_UP,True
VOLUME_TOO_LOW,90,0.2585983966899405223687613137,6,-0.0008723275536081526479996131122,0.01498767799615598513821609962,-0.0152442794614724174096653581,TRENDING_UP,True
VOLUME_TOO_LOW,90,0.2585983966899405223687613137,12,-0.003810353552771898214084705002,0.02006137549533150600328636116,-0.02289237479415626105102423653,TRENDING_UP,True
VOLUME_TOO_LOW,90,0.2585983966899405223687613137,24,-0.01036502703782744794710667153,0.0250821861052030618678177803,-0.03542049614425314585400388453,TRENDING_UP,True
