segment,start_time,end_time,input_start_time,requested_evaluation_start_time,effective_evaluation_start_time,input_candle_count,candle_count,warmup_candle_count,evaluated_candle_count,segment_hash,warnings,failed,error,entry_count,closed_trade_count,net_return,maximum_drawdown_percent
development,2022-01-05T04:00:00+00:00,2025-03-14T18:59:59.999000+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-05T04:00:00+00:00,28050,27950,100,27950,e4c44375f1b62ddcbe57dc4c53f590a677b68b82620af2894e418f14de95e3a9,WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00,False,,21,21,-0.42271771419230958894200,1.270470357127358153094159219
validation,2025-03-14T19:00:00+00:00,2025-12-31T23:59:59.999000+00:00,2025-03-10T15:00:00+00:00,2025-03-14T19:00:00+00:00,2025-03-14T19:00:00+00:00,7113,7013,100,7013,5258269898df8e7e5c55917cffb594ec5ae70c583dd3887e7513621156b3fba6,,False,,12,12,-0.10444886277658179389600,0.9031906129122404522900706727
