market,mode,variant_id,period,scenario,funding_dataset_hash,funding_paid,funding_received,net_funding,net_return_with_funding_percent,net_return_without_funding_percent,funding_return_impact_percent,funding_dominated_result
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,36.1532532858542628489266,0,-36.1532532858542628489266,-0.69547218202346415348926600,-0.3339396491649215250000,-0.36153253285854262848926600,False
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,57.3541418768319859631239,0,-57.3541418768319859631239,-0.51366362883728652463123900,0.0598777899310333350000,-0.57354141876831985963123900,True
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,36.1532532858542628489266,0,-36.1532532858542628489266,-0.69547218202346415348926600,-0.3339396491649215250000,-0.36153253285854262848926600,False
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,57.3541418768319859631239,0,-57.3541418768319859631239,-0.51366362883728652463123900,0.0598777899310333350000,-0.57354141876831985963123900,True
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,36.1532532858542628489266,0,-36.1532532858542628489266,-0.69547218202346415348926600,-0.3339396491649215250000,-0.36153253285854262848926600,False
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,1.3431579497704807187018,2.5632594240820884506210,1.2201014743116077319192,-2.37731221588909220768080800,-2.3895132306322082850000,0.01220101474311607731919200,False
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,2.0376515548996212285888,2.9214455022836678996802,0.8837939473840466710914,-3.15125698524990022828908600,-3.1600949247237406950000,0.00883793947384046671091400,False
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,1.3431579497704807187018,1.4519084995145207858015,0.1087505497440400670997,-1.78289416777749036432900300,-1.7839816732749307650000,0.00108750549744040067099700,False
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,1.8291206880048209852007,1.6114197715287700821011,-0.2177009164760509030996,-2.02676889974248197403099600,-2.0245918905777214650000,-0.00217700916476050903099600,False
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,1.3431579497704807187018,2.5632594240820884506210,1.2201014743116077319192,-2.37731221588909220768080800,-2.3895132306322082850000,0.01220101474311607731919200,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,36.7528889975476944859843,2.3339165687601128690001,-34.4189724287875816169842,-3.71030547191221839116984200,-3.3661157476243425750000,-0.34418972428787581616984200,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,57.7067085983351339527812,2.8620817386981552698363,-54.8446268596369786829449,-3.39307549792362949682944900,-2.8446292293272597100000,-0.54844626859636978682944900,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,19.1866110585281653017337,1.3469482018866913757848,-17.8396628566414739259489,-2.44976947040274374925948900,-2.2713728418363290100000,-0.17839662856641473925948900,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,30.0964442218403305207412,1.5965132020021627319884,-28.4999310198381677887528,-2.13819366889112695788752800,-1.8531943586927452800000,-0.28499931019838167788752800,False
