market,mode,variant_id,period,scenario,stage_order,stage,count
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,6,risk_sizing,4
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,7,risk_approved,4
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,8,execution,4
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,9,position,4
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,10,exit_condition,3
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,11,closed_trade,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,5,signal,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,8,execution,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,9,position,4
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,3
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,4
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,5,signal,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,8,execution,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,9,position,5
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,4
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,5
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,4
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,3
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,4
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,5
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,4
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,5
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,4,donchian_breakout,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,5,signal,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,6,risk_sizing,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,7,risk_approved,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,8,execution,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,9,position,4
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,10,exit_condition,3
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,11,closed_trade,4
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,247
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,5,signal,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,8,execution,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,9,position,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,5
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,5
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,247
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,5,signal,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,8,execution,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,9,position,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,6
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,6
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,247
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,5
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,5
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,247
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,6
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,6
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,3,sma_macro_filter,247
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,4,donchian_breakout,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,5,signal,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,6,risk_sizing,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,7,risk_approved,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,8,execution,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,9,position,5
