side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
LONG,250,100,7192,99.972191323693,-10.053336058898678,0.0,10.052488434617446,4.326576606994814e-05
LONG,500,100,7192,99.95828698553949,-10.05460501566852,0.0,10.054072590107708,4.546878859121763e-05
LONG,1000,100,7192,99.94438264738598,-10.056541201368997,0.0,10.053680494419135,4.327778682677343e-05
LONG,3000,100,7192,99.81924360400446,-10.0625936617836,0.0,10.051859140363952,4.951995480848989e-05
LONG,5000,100,7192,99.72191323692992,-10.072060618031266,0.0,10.055134475839264,4.254053058961097e-05
LONG,15000,100,7192,99.15183537263626,-10.116216788505861,0.0,10.052332189549208,4.391126292684651e-05
LONG,30000,100,7192,98.31757508342604,-10.18944518354012,0.0,10.053479592190468,4.9977415028113946e-05
LONG,60000,100,7192,96.64905450500557,-10.383390082325924,0.0,10.053592908682697,4.546193330784437e-05
LONG,250,500,7192,99.972191323693,-10.053479309496451,0.0,10.052631755533602,0.0001865866822258202
LONG,500,500,7192,99.95828698553949,-10.054752191027774,0.0,10.054219834711995,0.00019271339287849106
LONG,1000,500,7192,99.94438264738598,-10.05668449653821,0.0,10.05382385519452,0.00018663856221064507
LONG,3000,500,7192,99.81924360400446,-10.062759104853205,0.0,10.052024676284454,0.00021505587531087407
LONG,5000,500,7192,99.72191323692992,-10.072204720119291,0.0,10.055278658573362,0.00018672326468935647
LONG,15000,500,7192,99.15183537263626,-10.116355516535085,0.0,10.052470993377105,0.0001827150908241036
LONG,30000,500,7192,98.31757508342604,-10.189618895549373,0.0,10.053653404206393,0.00022378943095307174
LONG,60000,500,7192,96.64905450500557,-10.383547770245888,0.0,10.053750704712929,0.00020325796354025332
LONG,250,1000,7192,99.972191323693,-10.053571234605762,0.0,10.052723726624603,0.0002785577732260743
LONG,500,1000,7192,99.95828698553949,-10.054848035108032,0.0,10.054315724552472,0.0002886032333540651
LONG,1000,1000,7192,99.94438264738598,-10.056773882628718,0.0,10.05391328258885,0.0002760659565405638
LONG,3000,1000,7192,99.81924360400446,-10.062859146510846,0.0,10.052124770903925,0.00031515049478134566
LONG,5000,1000,7192,99.72191323692992,-10.072297757924877,0.0,10.055371746299047,0.00027981099037378056
LONG,15000,1000,7192,99.15183537263626,-10.116447213220361,0.0,10.052562739804273,0.0002744615179910885
LONG,30000,1000,7192,98.31757508342604,-10.189724746141897,0.0,10.053759319423568,0.00032970464812860683
LONG,60000,1000,7192,96.64905450500557,-10.38364912298579,0.0,10.05385212385459,0.00030467710520269914
SHORT,250,100,7192,99.972191323693,-10.052173890926953,0.0,10.052882750722992,3.311940744342999e-05
SHORT,500,100,7192,99.95828698553949,-10.050929551956035,0.0,10.05139050162056,4.945224834864662e-05
SHORT,1000,100,7192,99.94438264738598,-10.04901385299543,0.0,10.05187106744017,1.5363784403035898e-05
SHORT,3000,100,7192,99.81924360400446,-10.04293118540024,0.0,10.053543430825364,4.370127379110792e-05
SHORT,5000,100,7192,99.72191323692992,-10.033517505320916,0.0,10.050455812986531,4.72475912298227e-05
SHORT,15000,100,7192,99.15183537263626,-9.989226450280942,0.0,10.053034710223677,2.9075220191527167e-05
SHORT,30000,100,7192,98.31757508342604,-9.915939970579112,0.0,10.05190953360082,3.1316250628505874e-05
SHORT,60000,100,7192,96.64905450500557,-9.721791465689874,0.546683930369731,10.051786393876073,2.762329195356848e-05
SHORT,250,500,7192,99.972191323693,-10.05228802862177,0.0,10.052996829820424,0.00014719850487548527
SHORT,500,500,7192,99.95828698553949,-10.05109494953136,0.0,10.051555811730966,0.00021476235875455638
SHORT,1000,500,7192,99.94438264738598,-10.04907238032262,0.0,10.051929565317376,7.386166161002045e-05
SHORT,3000,500,7192,99.81924360400446,-10.043085518379149,0.0,10.0536976759141,0.00019794636252713166
SHORT,5000,500,7192,99.72191323692992,-10.033649116952006,0.0,10.050587348889291,0.00017878349398997416
SHORT,15000,500,7192,99.15183537263626,-9.989310285873344,0.0,10.053118497924183,0.000112862920696431
SHORT,30000,500,7192,98.31757508342604,-9.916043665556254,0.0,10.052013190452348,0.0001349731021561799
SHORT,60000,500,7192,96.64905450500557,-9.721869843657542,0.546683930369731,10.051864748071413,0.00010597748729304934
SHORT,250,1000,7192,99.972191323693,-10.05239507033035,0.0,10.053103816583567,0.00025418526801729643
SHORT,500,1000,7192,99.95828698553949,-10.051203706616388,0.0,10.051664511346134,0.0003234619739221732
SHORT,1000,1000,7192,99.94438264738598,-10.049127156493142,0.0,10.051984312553135,0.00012860889736695855
SHORT,3000,1000,7192,99.81924360400446,-10.043205461939074,0.0,10.05381756250917,0.0003178329575989577
SHORT,5000,1000,7192,99.72191323692992,-10.03373755082075,0.0,10.050675738138548,0.0002671727432451308
SHORT,15000,1000,7192,99.15183537263626,-9.98940266158934,0.0,10.0532108324943,0.00020519749081089614
SHORT,30000,1000,7192,98.31757508342604,-9.916134782654197,0.0,10.052104289551366,0.0002260722011749034
SHORT,60000,1000,7192,96.64905450500557,-9.721960052987072,0.546683930369731,10.051954932079306,0.00019616149518639033
