partition,feature_left,feature_right,left_bin,right_bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,100,2055,99.80535279805353,-9.978654226876634,-10.052667355197707,0.0,-10.052743784993218,-9.579075925311772,-7.8226977898339785,-11.871842235423337,10.060307825533032,8.931931226045866e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,1000,2055,99.80535279805353,-9.979258277503813,-10.052667355197707,0.0,-10.052743784993218,-9.579075925311772,-7.823264656189222,-11.872408801909128,10.060912146891608,0.0006936406708372022
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,500,2055,99.80535279805353,-9.979005393697141,-10.052667355197707,0.0,-10.052743784993218,-9.579075925311772,-7.82301699051868,-11.872161266775754,10.060659147185893,0.00044064096512070325
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,100,2055,98.83211678832117,-9.842976878293985,-9.842051201011378,0.0,-11.63505733478979,-8.052590560344601,-7.8226977898339785,-11.871842235423337,10.069349662254645,0.00010429867133219223
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,1000,2055,98.83211678832117,-9.843589900646146,-9.842051201011378,0.0,-11.63505733478979,-8.052590560344601,-7.823264656189222,-11.872408801909128,10.069963000047705,0.0007176364643923177
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,500,2055,98.83211678832117,-9.84332583538339,-9.842051201011378,0.0,-11.63505733478979,-8.052590560344601,-7.82301699051868,-11.872161266775754,10.069698795424666,0.00045343184135303283
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,100,2055,99.90267639902676,-10.02900331206189,-10.05267262867773,0.0,-10.052743784993218,-10.052616617270042,-7.8226977898339785,-11.871842235423337,10.0560868108136,8.923229880477385e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,1000,2055,99.90267639902676,-10.029606754151185,-10.05267262867773,0.0,-10.052743784993218,-10.052616617270042,-7.823264656189222,-11.872408801909128,10.056690543451905,0.0006929649371101323
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,500,2055,99.90267639902676,-10.029354125582639,-10.05267262867773,0.0,-10.052743784993218,-10.052616617270042,-7.82301699051868,-11.872161266775754,10.056437790214485,0.0004402116996895092
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,100,2055,99.36739659367396,-9.901532404178157,-10.052649599662875,0.0,-10.105400246759958,-9.156789134011051,-7.8226977898339785,-11.871842235423337,10.063126801147853,8.971085478053714e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,1000,2055,99.36739659367396,-9.902116687445377,-10.052649599662875,0.0,-10.105400246759958,-9.156789134011051,-7.823264656189222,-11.872408801909128,10.063711400118565,0.0006743098254941923
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,500,2055,99.36739659367396,-9.901866132619102,-10.052649599662875,0.0,-10.105400246759958,-9.156789134011051,-7.82301699051868,-11.872161266775754,10.063460713609329,0.000423623316257158
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,30000,100,2055,98.78345498783455,-9.869377855624114,-9.684280351887631,0.0,-12.589177815051551,-7.262264081372503,-7.8226977898339785,-11.871842235423337,10.063758973406806,9.024030589436128e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,30000,1000,2055,98.78345498783455,-9.870052312240498,-9.684280351887631,0.0,-12.589177815051551,-7.262264081372503,-7.823264656189222,-11.872408801909128,10.06443378964976,0.0007650565488482483
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,30000,500,2055,98.78345498783455,-9.86978315363691,-9.684280351887631,0.0,-12.589177815051551,-7.262264081372503,-7.82301699051868,-11.872161266775754,10.064164469676642,0.0004957365757289588
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,500,100,2055,99.85401459854015,-10.006532961341374,-10.052669297935912,0.0,-10.052743784993218,-9.841959626838138,-7.8226977898339785,-11.871842235423337,10.05407154158121,9.887932672775057e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,500,1000,2055,99.85401459854015,-10.007162517278873,-10.052669297935912,0.0,-10.052743784993218,-9.84195996002117,-7.823264656189222,-11.872408801909128,10.054701390130043,0.0007287278755590609
