anchor_id,side,notional,activation,immediate_exit_pnl_bps,elastic_exit_pnl_bps,incremental_pnl_bps,maximum_additional_capture_bps,profit_giveback_bps,exit_reason,partial_exit,slippage_bps,adverse_selection_after_exit_bps,mark_price_used,post_event_research_only
8acc0a8bded163b017d19fc431868590828e2b2dbff8f636a49e864b03dbb9e2,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,CAPTURE_BOUNDARY,False,0E-21,1.370512888092351483843760000,False,True
22bf25b4a421710642e78f7eae55511a331154b4056af1858f028c5dac152c32,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
350a8911b2902e9ba921898e4bd46bf08ce459f0ebc129f59fc5327e96e7fd53,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
3b5e4170df81742ad8f8ecc35d7205b96559a7ed3f8455e669776f115c0b112f,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
b9e53fb517decd69b745be3cf281094136b677e259f0c88a0abc3763e2984a9c,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
b9f9b4f0b35bbf0ab8397b8305529eb793c2d26a0cc2e97b11893c9a602e4ea1,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
22416fde66602dd6d3f23af586fba0ccdcc9eb4ef2fe60777973405803e331db,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
736b8414f71580fcb0063627171e0fe61284ec8275d2e068e1ea49c340f90be5,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
427764b990fddf8a74329370153556109441ed6abd98af96ed31c106795d5404,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
e6d54706012888dfd80b28f9029bba9b787f61a615dc071e9ce94bcfd37f9b64,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
4d0c5f4da2e2f4cd76ed1717e6bd01e0882e06a9e1a0ed7a84f4fcbe311d7b21,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
f267dd3fbf3d45966bc2732970212aacfee81dcb873661301b58f3573894b287,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
9f84c725e457a923afeea0a62456bfaaada5e83d37408e19b604806627ad5063,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
47963716840303fb6590cd02157d6b4ebbbd12f42ddd6862ff6c082c8715c2d2,SHORT,100,True,5.64637180081797866509255000,5.64637180081797866509255000,0E-26,0,0,NO_NEW_PEAK_300MS,False,0E-21,1.370512888092351483843760000,False,True
d50a679824096eaf1cf34ef42bd9ed6821ec38d7f7bb0a4754130b1ae8041c79,SHORT,100,True,5.43654265805036949577794000,5.85867903642401560276211000,0.42213637837364610698417000,0,0,NO_NEW_PEAK_300MS,False,0E-21,0,False,True
4d61ecb2e11ae4f3a9d63bd79b37936e970e274021070e8b351b1123dd4c271a,SHORT,100,True,5.43654265805036949577794000,5.85867903642401560276211000,0.42213637837364610698417000,0,0,NO_NEW_PEAK_300MS,False,0E-21,0,False,True
90ffbfa00260e562e53d0f7f6e437cb0e7aa3d532067ebed55c1d0b712126405,SHORT,100,True,5.43654265805036949577794000,5.85867903642401560276211000,0.42213637837364610698417000,0,0,NO_NEW_PEAK_300MS,False,0E-21,0,False,True
1ed3bdcfdfe2070d9559dcf9431c817642d5a05085b4b1b76b3b3fbc3007f29e,SHORT,100,True,5.43654265805036949577794000,5.85867903642401560276211000,0.42213637837364610698417000,0,0,NO_NEW_PEAK_300MS,False,0E-21,0,False,True
4b1ef178299210ccd4d4f7cf77e1a0a9b007c2343ffca3087c3875252737d31f,SHORT,100,True,5.43654265805036949577794000,5.85867903642401560276211000,0.42213637837364610698417000,0,0,NO_NEW_PEAK_300MS,False,0E-21,0,False,True
