horizon_ms,notional,context,long_samples,short_samples,long_mean_net_bps,short_mean_net_bps,both_weak_or_negative,strategy_threshold_created
1000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054823748497961,-10.050697064884337,True,False
1000,100,SPREAD_HIGH|VOL_MID,413,413,-10.028872137004708,-10.077830782268629,True,False
1000,100,SPREAD_LOW|VOL_HIGH,704,704,-10.07981461759321,-10.025519527537122,True,False
1000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.064684819874273,-10.040652313355762,True,False
1000,100,SPREAD_LOW|VOL_MID,598,598,-10.062802678573934,-10.042614819815812,True,False
1000,100,SPREAD_MID|VOL_HIGH,765,765,-10.055648217912106,-10.049878322279401,True,False
1000,100,SPREAD_MID|VOL_LOW,1016,1016,-10.065551998639217,-10.039875971121576,True,False
1000,100,SPREAD_MID|VOL_MID,549,549,-10.036565007864324,-10.068872853635929,True,False
1000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-10.042011993541829,-10.065230900506027,True,False
1000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054823748497961,-10.050697064884337,True,False
1000,1000,SPREAD_HIGH|VOL_MID,413,413,-10.028872137004708,-10.078017454122916,True,False
1000,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.080173906183937,-10.025552614007744,True,False
1000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.06474855877302,-10.040652313355762,True,False
1000,1000,SPREAD_LOW|VOL_MID,598,598,-10.063026200459378,-10.042701711422845,True,False
1000,1000,SPREAD_MID|VOL_HIGH,765,765,-10.056060154824472,-10.050190549569306,True,False
1000,1000,SPREAD_MID|VOL_LOW,1016,1016,-10.065551998639217,-10.039905221075164,True,False
1000,1000,SPREAD_MID|VOL_MID,549,549,-10.036565007864324,-10.068872853635929,True,False
1000,500,SPREAD_HIGH|VOL_HIGH,927,927,-10.041666564487484,-10.065131491219347,True,False
1000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054823748497961,-10.050697064884337,True,False
1000,500,SPREAD_HIGH|VOL_MID,413,413,-10.028872137004708,-10.077830782268629,True,False
1000,500,SPREAD_LOW|VOL_HIGH,704,704,-10.080071201757617,-10.025519527537122,True,False
1000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.064740071697262,-10.040652313355762,True,False
