partition,feature_left,feature_right,left_bin,right_bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,100,2055,99.80535279805353,-10.126938276284834,-10.052736166309996,0.0,-10.526684284225267,-10.052672864919504,-8.23299780730094,-12.281934955153108,10.045209775861176,9.608224767988025e-06
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,1000,2055,99.80535279805353,-10.127061015808065,-10.052736166309996,0.0,-10.526720330193895,-10.052672864919504,-8.233012278599256,-12.281949414706046,10.045332448095882,0.00013228045947578286
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,1000,500,2055,99.80535279805353,-10.126951413788662,-10.052736166309996,0.0,-10.526684284225267,-10.052672864919504,-8.233010670677222,-12.281947808089052,10.045222907350635,2.2739714226865134e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,100,2055,98.83211678832117,-10.262767034156957,-10.263512766080732,0.0,-12.054739336492892,-8.468891820580476,-8.23299780730094,-12.281934955153108,10.035948412561096,9.702840472251816e-06
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,1000,2055,98.83211678832117,-10.262821971788126,-10.263512766080732,0.0,-12.054739336492892,-8.468891820580476,-8.233012278599256,-12.281949414706046,10.036003313468024,6.460374740076936e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,15000,500,2055,98.83211678832117,-10.262808769464236,-10.263512766080732,0.0,-12.054739336492892,-8.468891820580476,-8.233010670677222,-12.281947808089052,10.035990120438306,5.141071768270831e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,100,2055,99.90267639902676,-10.076581302641426,-10.052730885383452,0.0,-10.052824988516306,-10.052675083448284,-8.23299780730094,-12.281934955153108,10.049242536850594,5.241480686433158e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,1000,2055,99.90267639902676,-10.077058152968002,-10.052730885383452,0.0,-10.052824988516306,-10.052675083448284,-8.233012278599256,-12.281949414706046,10.049719139794936,0.0005290177512061317
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,250,500,2055,99.90267639902676,-10.07677394398937,-10.052730885383452,0.0,-10.052824988516306,-10.052675083448284,-8.233010670677222,-12.281947808089052,10.049435077605908,0.0002449555621798212
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,100,2055,99.36739659367396,-10.204194912394364,-10.052763978103345,0.0,-10.949566317787562,-10.0,-8.23299780730094,-12.281934955153108,10.042447606515458,6.647720776108135e-05
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,1000,2055,99.36739659367396,-10.204492425419348,-10.052763978103345,0.0,-10.949566317787562,-10.0,-8.233012278599256,-12.281949414706046,10.042744941572888,0.0003638122651917972
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,3000,500,2055,99.36739659367396,-10.204402570839676,-10.052763978103345,0.0,-10.949566317787562,-10.0,-8.233010670677222,-12.281947808089052,10.042655141798429,0.0002740124907316322
ENGINEERING_SAMPLE,imbalance_10,microprice_edge_bps,HIGH,HIGH,30000,100,2055,98.78345498783455,-10.23634536685121,-10.421382919356027,0.0,-12.845892900411922,-7.5137897616920535,-8.23299780730094,-12.281934955153108,10.0417528846091,2.962791333930547e-05
