partition,feature,bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,100,1439,100.0,-10.052891544495363,-10.05268567814032,0.0,-10.052773304469495,-10.052627699177018,-8.002024290396601,-12.751564675406081,10.052019125562607,-3.368433420252186e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,1000,1439,100.0,-10.053108113385182,-10.05268567814032,0.0,-10.052773304469495,-10.052627699177018,-8.002150339594747,-12.75169066280205,10.052235807210579,0.00021668164797292462
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,500,1439,100.0,-10.05296738024233,-10.05268567814032,0.0,-10.052773304469495,-10.052627699177018,-8.002028854970689,-12.75156923774215,10.052095004170289,7.587860768180792e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,100,1439,100.0,-10.143815102953779,-10.052669020393108,0.0,-12.319502534269335,-8.206824861618992,-8.002024290396601,-12.751564675406081,10.05064893008478,1.9903067527146786e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,1000,1439,100.0,-10.144067705794004,-10.052669020393108,0.0,-12.319502534269335,-8.206824861618992,-8.002150339594747,-12.75169066280205,10.050901698833945,0.0002726718166928284
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,500,1439,100.0,-10.143909824902943,-10.052669020393108,0.0,-12.319502534269335,-8.206824861618992,-8.002028854970689,-12.75156923774215,10.050743726314664,0.00011469929741319304
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,100,1439,100.0,-10.054517198613185,-10.05268567814032,0.0,-10.052743784993218,-10.052642944423377,-8.002024290396601,-12.751564675406081,10.051175108347854,-3.4416404029295364e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,1000,1439,100.0,-10.054733762189345,-10.05268567814032,0.0,-10.052743784993218,-10.052642944423377,-8.002150339594747,-12.75169066280205,10.051391789995826,0.00021668164797292462
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,500,1439,100.0,-10.05459303416773,-10.05268567814032,0.0,-10.052743784993218,-10.052642944423377,-8.002028854970689,-12.75156923774215,10.051250986955536,7.587860768180792e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,100,1439,100.0,-10.076007451504578,-10.052683734193563,0.0,-10.790010327965602,-9.366693595653345,-8.002024290396601,-12.751564675406081,10.050642358617896,1.3700115407835789e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,1000,1439,100.0,-10.076198640989318,-10.052683734193563,0.0,-10.790010327965602,-9.366693595653345,-8.002150339594747,-12.75169066280205,10.050833642008293,0.00020498350580397463
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,500,1439,100.0,-10.076057240999328,-10.052683734193563,0.0,-10.790010327965602,-9.366693595653345,-8.002028854970689,-12.75156923774215,10.05069217250863,6.35140061411635e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,100,1439,98.74913134120918,-10.23929250392725,-10.263554812545156,0.0,-13.478061434310842,-7.630593280161833,-8.002024290396601,-12.751564675406081,10.051131253225817,1.2424415501092911e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,1000,1439,98.74913134120918,-10.239487431773165,-10.263554812545156,0.0,-13.478061434310842,-7.630593280161833,-8.002150339594747,-12.75169066280205,10.051326332938798,0.00020750412848130997
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,500,1439,98.74913134120918,-10.239344286379644,-10.263554812545156,0.0,-13.478061434310842,-7.630593280161833,-8.002028854970689,-12.75156923774215,10.051183065961226,6.423715091090102e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,100,1439,100.0,-10.049603485758752,-10.05268567814032,0.0,-10.052752136210819,-10.052627699177018,-8.002024290396601,-12.751564675406081,10.048648512280831,-3.4783304737836756e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,1000,1439,100.0,-10.0497294719323,-10.05268567814032,0.0,-10.052752136210819,-10.052627699177018,-8.002150339594747,-12.75169066280205,10.048774559445691,0.00012604716485999678
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,500,1439,100.0,-10.049608048050553,-10.05268567814032,0.0,-10.052752136210819,-10.052627699177018,-8.002028854970689,-12.75156923774215,10.048653076701497,4.564420665445278e-06
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,5000,100,1439,100.0,-10.068593530857056,-10.052677903213905,0.0,-10.895623481290555,-9.10382856630503,-8.002024290396601,-12.751564675406081,10.050850120388672,-4.1010329783779537e-25
