partition,feature,bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,100,1439,100.0,-10.052541110403665,-10.052736722258533,0.0,-10.052805193434317,-10.05267203301939,-7.35245858140274,-12.102580525659372,10.053340480721237,-2.4896126008082087e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,1000,1439,100.0,-10.052745341127425,-10.052736722258533,0.0,-10.052805193434317,-10.05267203301939,-7.352549223773887,-12.102671152733764,10.053544605026206,0.00020412430496993656
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,1000,500,1439,100.0,-10.052612828081239,-10.052736722258533,0.0,-10.052805193434317,-10.05267203301939,-7.352529901796321,-12.102651834016962,10.053412162377647,7.168165641034396e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,100,1439,100.0,-9.961574143442798,-10.052723938407057,0.0,-11.90056566338807,-7.783702531645569,-7.35245858140274,-12.102580525659372,10.054795793602421,2.8107786484998666e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,1000,1439,100.0,-9.961945049770108,-10.052723938407057,0.0,-11.90056566338807,-7.783702531645569,-7.352549223773887,-12.102671152733764,10.055166538129805,0.00039885231386828444
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,15000,500,1439,100.0,-9.961686561568655,-10.052723938407057,0.0,-11.90056566338807,-7.783702531645569,-7.352529901796321,-12.102651834016962,10.054908145276178,0.0001404594602409945
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,100,1439,100.0,-10.050913821163089,-10.052738668170724,0.0,-10.052796833773087,-10.0526958912479,-7.35245858140274,-12.102580525659372,10.054184506533629,-3.2586404753092286e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,1000,1439,100.0,-10.051244142607391,-10.052738668170724,0.0,-10.052796833773087,-10.0526958912479,-7.352549223773887,-12.102671152733764,10.054514659809536,0.0003301532759069729
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,250,500,1439,100.0,-10.050990103073683,-10.052738668170724,0.0,-10.052796833773087,-10.0526958912479,-7.352529901796321,-12.102651834016962,10.054260750069462,7.62435358326934e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,100,1439,100.0,-10.029427258283015,-10.052730885383452,0.0,-10.739600604057323,-9.314635752865236,-7.35245858140274,-12.102580525659372,10.05474265856529,1.1588730910233889e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,1000,1439,100.0,-10.029567831524153,-10.052730885383452,0.0,-10.739600604057323,-9.314635752865236,-7.352549223773887,-12.102671152733764,10.054883149664814,0.0001520798304334554
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,3000,500,1439,100.0,-10.02951863225309,-10.052730885383452,0.0,-10.739600604057323,-9.314635752865236,-7.352529901796321,-12.102651834016962,10.05483398211825,0.00010291228386896595
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,100,1439,98.74913134120918,-9.865992683880966,-9.841708065689966,0.0,-12.477202686685105,-6.623942213903462,-7.35245858140274,-12.102580525659372,10.05426841230967,2.799879125387768e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,1000,1439,98.74913134120918,-9.866118716723994,-9.841708065689966,0.0,-12.477202686685105,-6.623942213903462,-7.352549223773887,-12.102671152733764,10.054394389493103,0.00015397597468798407
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,30000,500,1439,98.74913134120918,-9.866087029516825,-9.841708065689966,0.0,-12.477202686685105,-6.623942213903462,-7.352529901796321,-12.102651834016962,10.054362714433298,0.00012230091488263126
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,100,1439,100.0,-10.055832476155887,-10.052738668170724,0.0,-10.052803521290295,-10.052680630587938,-7.35245858140274,-12.102580525659372,10.056711076668652,-2.9291939174403247e-25
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,1000,1439,100.0,-10.05607677983495,-10.052738668170724,0.0,-10.052803521290295,-10.052680630587938,-7.352549223773887,-12.102671152733764,10.056955255103372,0.0002441784347194392
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,500,500,1439,100.0,-10.055908396289238,-10.052738668170724,0.0,-10.052803521290295,-10.052680630587938,-7.352529901796321,-12.102651834016962,10.056786958608969,7.588194031548725e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,5000,100,1439,100.0,-10.036901461129728,-10.05272560551445,0.0,-11.00261075949367,-9.208949166121993,-7.35245858140274,-12.102580525659372,10.054587666011384,7.809685018553854e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,5000,1000,1439,100.0,-10.0373451311273,-10.05272560551445,0.0,-11.00261075949367,-9.208949166121993,-7.352549223773887,-12.102671152733764,10.055031058454254,0.000521489293054742
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,5000,500,1439,100.0,-10.037206282872086,-10.05272560551445,0.0,-11.00261075949367,-9.208949166121993,-7.352529901796321,-12.102651834016962,10.05489229799651,0.0003827288353117138
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,60000,100,1439,97.5677553856845,-9.73281089660379,-10.0,0.07122507122507123,-14.486381405065496,-5.248585841529824,-7.35245858140274,-12.102580525659372,10.057368163080584,2.9766608454585692e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,60000,1000,1439,97.5677553856845,-9.732936556908944,-10.0,0.07122507122507123,-14.486381405065496,-5.248585841529824,-7.352549223773887,-12.102671152733764,10.057493742696797,0.00015534622466820673
ENGINEERING_SAMPLE,aggressive_flow_10s,Q1,60000,500,1439,97.5677553856845,-9.732903988034588,-10.0,0.07122507122507123,-14.486381405065496,-5.248585841529824,-7.352529901796321,-12.102651834016962,10.057461196327319,0.0001227998551897147
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,1000,100,1438,100.0,-10.009527603001061,-10.052724355174387,0.0,-10.052831962148975,-10.0,-7.144373242475764,-11.566908222931612,10.051897020345026,6.309045153375154e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,1000,1000,1438,100.0,-10.009780153896154,-10.052724494097808,0.0,-10.052831962148975,-10.0,-7.14462577299077,-11.567160579174997,10.052149446184297,0.0003155162908035123
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,1000,500,1438,100.0,-10.009703085798497,-10.052724494097808,0.0,-10.052831962148975,-10.0,-7.144548708329776,-11.567083565127291,10.05207241497485,0.00023848508135711758
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,15000,100,1438,100.0,-9.667456859355555,-10.052668982943777,0.0,-11.158705425295585,-7.730574457983858,-7.144373242475764,-11.566908222931612,10.054815522175726,6.309045153375154e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,15000,1000,1438,100.0,-9.667709432789222,-10.052668982943777,0.0,-11.158705425295585,-7.730574457983858,-7.14462577299077,-11.567160579174997,10.055067948014997,0.0003155162908035123
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,15000,500,1438,100.0,-9.667632363158255,-10.052668982943777,0.0,-11.158705425295585,-7.730574457983858,-7.144548708329776,-11.567083565127291,10.05499091680555,0.00023848508135711758
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,250,100,1438,100.0,-10.04337309299225,-10.052730051649625,0.0,-10.052831404190606,-10.052675083448284,-7.144373242475764,-11.566908222931612,10.05271206949994,9.076258486887693e-05
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,250,1000,1438,100.0,-10.04365945432583,-10.052730051649625,0.0,-10.052831404190606,-10.052675083448284,-7.14462577299077,-11.567160579174997,10.052998287115422,0.0003769802003510126
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,250,500,1438,100.0,-10.043570417188096,-10.052730051649625,0.0,-10.052831404190606,-10.052675083448284,-7.144548708329776,-11.567083565127291,10.052909294785806,0.0002879878707354484
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,3000,100,1438,100.0,-9.963022373782783,-10.05272199358167,0.0,-10.581182273293763,-9.208949166121993,-7.144373242475764,-11.566908222931612,10.052934592839316,0.00011217278062174217
ENGINEERING_SAMPLE,aggressive_flow_10s,Q2,3000,1000,1438,100.0,-9.963540814860727,-10.05272199358167,0.0,-10.581182273293763,-9.209532303491898,-7.14462577299077,-11.567160579174997,10.053452745613802,0.0006303255551080095
