latency_profile,side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
FAST,LONG,250,100,7192,99.972191323693,-10.053336058898678,0.0,10.052488434617446,4.326576606994814e-05
FAST,LONG,500,100,7192,99.972191323693,-10.054486214196437,0.0,10.053981787894896,4.340283139042072e-05
FAST,LONG,1000,100,7192,99.94438264738598,-10.056541201368997,0.0,10.053680494419135,4.327778682677343e-05
FAST,LONG,3000,100,7192,99.81924360400446,-10.0625936617836,0.0,10.051859140363952,4.951995480848989e-05
FAST,LONG,5000,100,7192,99.72191323692992,-10.071356427887615,0.0,10.054425586406717,4.351234400354477e-05
FAST,LONG,15000,100,7192,99.15183537263626,-10.116364780703089,0.0,10.052480240929041,4.391126292684651e-05
FAST,LONG,30000,100,7192,98.31757508342604,-10.18947100062664,0.0,10.053505161114849,5.290631713260334e-05
FAST,LONG,60000,100,7192,96.64905450500557,-10.383306548757446,0.0,10.053509343985555,4.546193330784437e-05
FAST,LONG,250,500,7192,99.972191323693,-10.053479309496451,0.0,10.052631755533602,0.0001865866822258202
FAST,LONG,500,500,7192,99.972191323693,-10.05465574597155,0.0,10.054151403527001,0.00021301846349758811
FAST,LONG,1000,500,7192,99.94438264738598,-10.05668449653821,0.0,10.05382385519452,0.00018663856221064507
FAST,LONG,3000,500,7192,99.81924360400446,-10.062759104853205,0.0,10.052024676284454,0.00021505587531087407
FAST,LONG,5000,500,7192,99.72191323692992,-10.071526380537446,0.0,10.054595631494024,0.00021355743131045164
FAST,LONG,15000,500,7192,99.15183537263626,-10.116503508732313,0.0,10.05261904475694,0.0001827150908241036
FAST,LONG,30000,500,7192,98.31757508342604,-10.18967135902751,0.0,10.05370562224526,0.0002533674475455956
FAST,LONG,60000,500,7192,96.64905450500557,-10.38346423667741,0.0,10.053667140015788,0.00020325796354025332
FAST,LONG,250,1000,7192,99.972191323693,-10.053571234605762,0.0,10.052723726624603,0.0002785577732260743
FAST,LONG,500,1000,7192,99.972191323693,-10.054775170694374,0.0,10.054270888645211,0.00033250358170630216
FAST,LONG,1000,1000,7192,99.94438264738598,-10.056773882628718,0.0,10.05391328258885,0.0002760659565405638
FAST,LONG,3000,1000,7192,99.81924360400446,-10.062859146510846,0.0,10.052124770903925,0.00031515049478134566
FAST,LONG,5000,1000,7192,99.72191323692992,-10.07164610515659,0.0,10.054715417661663,0.0003333435989506928
FAST,LONG,15000,1000,7192,99.15183537263626,-10.116595205417587,0.0,10.052710791184106,0.0002744615179910885
FAST,LONG,30000,1000,7192,98.31757508342604,-10.189795682812237,0.0,10.05383001120509,0.00037775640737541143
FAST,LONG,60000,1000,7192,96.64905450500557,-10.38356558941731,0.0,10.053768559157449,0.00030467710520269914
FAST,SHORT,250,100,7192,99.972191323693,-10.052173890926953,0.0,10.052882750722992,3.311940744342999e-05
