market,mode,variant_id,period,scenario,net_return_percent,gross_return_percent,maximum_drawdown_percent,trade_count,fees,execution_costs,net_funding,funding_source_unchanged,funding_dataset_hash,warnings
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,-0.51366362883728652463123900,0.169842838100,3.632577271812543393950161199,5,4.5818735394156665,6.414631277481,-57.3541418768319859631239,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,HIGH,-0.617393983718538880728300,0.16985750100,3.677269514880478566258594932,5,9.094498454989860,12.732331129056,-56.8983188878080280728300,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,STRESS,-0.82025806040091156048972600,0.169876895600,3.764816325342960316818244714,5,17.918553391218464,25.086107931192,-56.0088342776806920489726,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LOW,-0.6689997229845590896428500,-0.275831355800,2.662404738780159198149209439,4,1.283705855569363250,1.7971848188630,-36.2359460440235457142850,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,-0.69547218202346415348926600,-0.272482061500,2.671627279718813757761919894,4,2.5607383825471525,3.585020383945,-36.1532532858542628489266,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-0.74806056693886948729858600,-0.265890150800,2.689924221898940875244195454,4,5.095012677001112,7.132965633332,-35.9890633035538367298586,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-0.85181118917844658283441400,-0.253095591400,2.725919032095263329049997332,4,10.085949070011184,14.120130271072,-35.6654804367614742834414,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LOW,-0.46120601637974637874473200,0.169836081700,3.609959438366681646545325290,5,2.299698545036785125,3.2195800435435,-57.5849312193943527494732,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,-0.51366362883728652463123900,0.169842838100,3.632577271812543393950161199,5,4.5818735394156665,6.414631277481,-57.3541418768319859631239,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-0.617393983718538880728300,0.16985750100,3.677269514880478566258594932,5,9.094498454989860,12.732331129056,-56.8983188878080280728300,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-0.82025806040091156048972600,0.169876895600,3.764816325342960316818244714,5,17.918553391218464,25.086107931192,-56.0088342776806920489726,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,"[""FUNDING_DOMINATED_RESULT""]"
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,LOW,-0.6689997229845590896428500,-0.275831355800,2.662404738780159198149209439,4,1.283705855569363250,1.7971848188630,-36.2359460440235457142850,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,-0.69547218202346415348926600,-0.272482061500,2.671627279718813757761919894,4,2.5607383825471525,3.585020383945,-36.1532532858542628489266,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,HIGH,-0.74806056693886948729858600,-0.265890150800,2.689924221898940875244195454,4,5.095012677001112,7.132965633332,-35.9890633035538367298586,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,STRESS,-0.85181118917844658283441400,-0.253095591400,2.725919032095263329049997332,4,10.085949070011184,14.120130271072,-35.6654804367614742834414,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LOW,-2.35358569427858040554342400,-2.337999913800,2.499720998409586178775139659,5,1.159909475339245750,1.6238446249760,1.2251760524572051956576,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,-2.37731221588909220768080800,-2.333953395100,2.521585095510118928566238786,5,2.3150407987238285,3.240942754497,1.2201014743116077319192,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,HIGH,-2.42447029356603808839435900,-2.32590873400,2.565035069177986761277808903,5,4.611098722282760,6.455082333084,1.2100250987629511605641,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,STRESS,-2.51763450168349271289377900,-2.310018572400,2.650842691505329467396413583,5,9.147355781480544,12.804487039512,1.1902498926432727106221,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LOW,-3.11611419823083215090452200,-3.080324425700,3.284311248811026479642569412,6,1.862559303046224875,2.6075452902905,0.8911273402535097845478,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,-3.15125698524990022828908600,-3.070960287700,3.317264817385992245019512776,6,3.7140059080950695,5.199457794279,0.8837939473840466710914,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,HIGH,-3.22095034787955707676134600,-3.052433355300,3.382601781312437626711792340,6,7.384010197919742,10.337016000150,0.8693269401140343238654,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,STRESS,-3.35802825246543469666642500,-3.016169426100,3.511053202379292655001838349,6,14.595587579378616,20.431457934300,0.8411628771351463333575,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LOW,-1.76660453691130825208147400,-1.748832487200,1.913618303099123110069980666,5,0.786673445239263000,1.1013214001370,0.1107898742454377918526,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,-1.78289416777749036432900300,-1.746288487900,1.928045515359667903486947657,5,1.5705850440120765,2.198733493481,0.1087505497440400670997,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-1.81530895192685733456323400,-1.741234524400,1.956751269557348992374097132,5,3.130205383653416,4.381946255148,0.1047088861156825436766,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-1.87945914255797870805933900,-1.731230071700,2.013539389432836795039993803,5,6.217111543060152,8.702598875908,0.0968033331702811940661,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LOW,-2.00439839171745354367258700,-1.974703946500,2.174525456955828704310086264,6,1.147771808527031875,1.6068563418145,-0.2148163714038224922587,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,-2.02676889974248197403099600,-1.969642289900,2.194704209959621676446402830,6,2.2896069084351465,3.205353159337,-0.2177009164760509030996,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-2.07118986727691182269218600,-1.959623246900,2.234761762116077973932034753,6,4.555696439744566,6.377590929486,-0.2233746684606162692186,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-2.15876569374857874449668600,-1.939978629700,2.313689581459987317563540847,6,9.019105260532632,12.625226421500,-0.2343747228252424496686,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,LOW,-2.35358569427858040554342400,-2.337999913800,2.499720998409586178775139659,5,1.159909475339245750,1.6238446249760,1.2251760524572051956576,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,-2.37731221588909220768080800,-2.333953395100,2.521585095510118928566238786,5,2.3150407987238285,3.240942754497,1.2201014743116077319192,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,HIGH,-2.42447029356603808839435900,-2.32590873400,2.565035069177986761277808903,5,4.611098722282760,6.455082333084,1.2100250987629511605641,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,STRESS,-2.51763450168349271289377900,-2.310018572400,2.650842691505329467396413583,5,9.147355781480544,12.804487039512,1.1902498926432727106221,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LOW,-3.66288795469621238449914500,-3.259998482900,4.712250248950688005530686132,9,2.411738192914225375,3.3763935350985,-34.5008154516085130749145,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
