configuration,trade_count,iterations,seed,status,block_by_month,sample_fingerprint,mean_trade_pnl_lower_95,mean_trade_pnl_median,mean_trade_pnl_upper_95,median_trade_pnl_lower_95,median_trade_pnl_median,median_trade_pnl_upper_95,total_trade_pnl_lower_95,total_trade_pnl_median,total_trade_pnl_upper_95,win_rate_percent_lower_95,win_rate_percent_median,win_rate_percent_upper_95,expectancy_lower_95,expectancy_median,expectancy_upper_95
FUTURES_LONG_BASELINE_1X,33,2000,42,INCLUDES_ZERO,False,f614ab37f7392f03dde3547bf3c6a111eb2dae6aafb286e057aa138013835d9d,-35.16444962993452205825646322,1.946749473741625844984502870,40.86897672433432221991421604,-81.28082207638347343843142894,-65.22729924020820514599428548,88.58726516047823525466904312,-1160.426837787839227922463286,64.24273263347365288448859472,1348.676231903032633257169129,21.21212121212121212121212121,36.36363636363636363636363636,54.54545454545454545454545455,-35.16444962993452205825646322,1.946749473741625844984502870,40.86897672433432221991421604
FUTURES_SHORT_MIRRORED_1X,81,2000,42,INCLUDES_ZERO,False,de8a2ab7ea579c1915be891f19db0d9ebd622939a0d345bda7af23a33a90cdd0,-30.34181050852854354892485334,-3.250805239155755544395861604,24.63347188481753590937629937,-96.60042710707132870714285686,-85.04702201795007629571428543,-60.45595118046409555714285727,-2457.686651190812027462913120,-263.3152243716161990960647900,1995.311222670220408659480249,24.69135802469135802469135802,34.56790123456790123456790123,44.44444444444444444444444444,-30.34181050852854354892485334,-3.250805239155755544395861604,24.63347188481753590937629937
FUTURES_LONG_SHORT_BASELINE_1X,114,2000,42,INCLUDES_ZERO,False,29ac7e85466b279c31fa835774c71ec8efdfae6524a926a62feca35232fa4e81,-23.21608830889673690607611499,-2.222427861530226057546665217,20.37354996820409201236658744,-86.62713647858644474560275807,-76.60219321893013502122435460,-62.68336246657723383010142835,-2646.634067214228007292677109,-253.3567762144457705603198348,2322.584696375266489409790968,27.17105263157894736842105264,35.08771929824561403508771930,43.85964912280701754385964912,-23.21608830889673690607611499,-2.222427861530226057546665217,20.37354996820409201236658744
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,144,2000,42,INCLUDES_ZERO,False,a72abb566708116597319edbf5b78172d210c0dc63889bce58cc6dec01a577c1,-14.18614224240977724533427413,-0.9475481727068445714571560323,13.22207498495628538959675813,-33.42864230450418712500000000,-17.4361305735494115129218070,-3.154883431714490247000000000,-2042.804482907007923328135475,-136.4469368697856182898304686,1903.978797833705096101933171,33.33333333333333333333333333,40.97222222222222222222222222,48.61111111111111111111111111,-14.18614224240977724533427413,-0.9475481727068445714571560323,13.22207498495628538959675813
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,122,2000,42,INCLUDES_ZERO,False,9de6b81e4c1338e9151c0364f708890fd33b4aa45223ba09314556b62d496d06,-19.06083261943545599296195402,-1.990411925766882406200209053,15.59884113117026605299594051,-65.80212437649840057678571455,-44.2483580023634780210300000,-12.70327473752054295397225000,-2325.421579571125631141358391,-242.8302549435596535564255045,1903.058618002772458465504742,28.68852459016393442622950820,36.88524590163934426229508197,45.90163934426229508196721311,-19.06083261943545599296195402,-1.990411925766882406200209053,15.59884113117026605299594051
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,104,2000,42,INCLUDES_ZERO,False,8e6ba65fbfbb72e5617d06a6b10bfcdcbe8a3b7e972057bd2411f5b97dfe5963,-21.91863361387963255226178270,2.503098513190527494420283908,27.39511693138075486167209843,-84.31637505748562987535857060,-75.99039517366306475735714255,-64.85733633349942829805611170,-2279.537895843481785435225400,260.3222453718148594197095264,2849.092160863598505613898237,23.07692307692307692307692308,31.73076923076923076923076923,40.38461538461538461538461538,-21.91863361387963255226178270,2.503098513190527494420283908,27.39511693138075486167209843
