configuration,volatility_bucket,period,candles,trades,long_trades,short_trades,net_return_percent,maximum_drawdown_percent,win_rate_percent,expectancy,costs,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,HIGH,ALL,9343,9,4,5,-3.597589721323315122155056732,3.597589721323315122155056730,11.11111111111111111111111111,-39.97321912581461246838951924,21.86384838765635035214285714,-1.965269444786763291934244,100,100,100,-471.1779374245955419448220716,-471.1779374245955419448220716,-471.1779374245955419448220716,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,EXTREME,ALL,9490,95,28,67,5.951261596218761786768499655,13.35381880965388514090125831,33.68421052631578947368421053,6.264485890756591354493157532,211.8680907132057092117857145,-17.546267161232841397078601,3.960272014006610561597558829,11.66368980594753214055595603,19.23227863241448482066623140,345.8325814380014294249379469,-139.0867823850388155544064965,-615.5188516164556607252107815,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,HIGH,2022,2269,1,1,0,-0.6029180389578648899293142882,0.6029180389578648899293142900,0,-60.29180389578648899293142882,2.539710464123474712857142857,-0.624721267588279994360000,0,0,0,-60.29180389578648899293142882,-60.29180389578648899293142882,-60.29180389578648899293142882,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,EXTREME,2022,4162,43,12,31,-2.828813038371462579957055668,7.676041663555507058331568456,27.90697674418604651162790698,-6.578634972956889720830362019,98.04295007462158039607142859,-10.837434849714088313919852,9.641099182730392126283455190,28.52206337443529570431632361,47.29050161870687487782196586,-527.3715068845318667302769952,-1006.176950275170459969269724,-1482.128829853774752054952230,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,UNKNOWN,2022,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,LOW,2023,4131,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,MEDIUM,2023,2478,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,HIGH,2023,1574,1,0,1,-0.5082858252310502515000000062,0.5082858252310502515000000100,0,-50.82858252310502515000000062,2.41839676100880825000000,-0.500515518412816900000000,0,0,0,-50.82858252310502515000000062,-50.82858252310502515000000062,-50.82858252310502515000000062,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,EXTREME,2023,577,5,4,1,-1.477958418988624564131949318,1.502869433289217741135720740,20.0,-29.55916837977249128263898636,11.99731520363708127285714286,-0.914222632941146568909216,100,100,100,-283.5464353414934200207149322,-283.5464353414934200207149322,-283.5464353414934200207149322,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,HIGH,2024,2707,4,1,3,-2.314887588392028808511534994,2.314887588392028808511534990,0,-57.87218970980072021278837485,9.231198326792371739285714284,1.977122277012703745275072,0,0,0,-231.4887588392028808511534994,-231.4887588392028808511534994,-231.4887588392028808511534994,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,EXTREME,2024,1834,20,3,17,-1.867927491360942570183237463,5.228811833946902854646012060,30.0,-9.339637456804712850916187315,41.92857098616574544714285717,-4.659289556454608714038032,20.57593764129800447966081906,57.13247746519249509990115029,86.22120430226187140899960032,-406.6598264641181226183237465,-797.2898773723670046897476314,-1108.121561660861704810033346,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,HIGH,2025,2793,3,2,1,-0.1714982687423711722142074436,1.271520768824011923562173396,33.33333333333333333333333333,-5.716608958079039073806914787,7.674542835731695650000000001,-2.817154935798370142849316,100,100,100,-128.5687921665011469507371428,-128.5687921665011469507371428,-128.5687921665011469507371428,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,EXTREME,2025,2917,27,9,18,12.12596054493979150104074211,3.284337067231894212537459086,48.14814814814814814814814815,44.91096498125848704089163744,59.89925444878130209571428571,-1.135320122122997800211501,9.758504034136265333595291027,27.79211125372064523063322136,45.27505860016455988086263702,963.3024763101044008521621924,502.6107088418069720913991676,55.986258418956207784856311,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
