configuration,period_type,period,scenario,net_return_percent,net_pnl,gross_pnl,trades,costs,funding,warning
FUTURES_LONG_BASELINE_1X,YEAR,2022,LOW_COST,-2.770660177818623138648347551,-277.0660177818623138648347551,-254.8865105296620492857142827,13,14.96398233611029625517857142,-7.215524916089968323941901,
FUTURES_LONG_BASELINE_1X,YEAR,2022,BASE_COST,-3.146994471590809505808094876,-314.6994471590809505808094876,-277.7652223375061042857142827,13,29.76914664635815773785714285,-7.165078175216688557238062,
FUTURES_LONG_BASELINE_1X,YEAR,2022,HIGH_COST,-3.887149471496006317536469816,-388.7149471496006317536469816,-322.7304695388772142857142829,13,58.91762475998027490571428572,-7.066852850743142562218413,
FUTURES_LONG_BASELINE_1X,YEAR,2022,STRESS_COST,-5.296024048085618805339219326,-529.6024048085618805339219326,-407.4330801157141142857142830,13,115.2813023795176133714285715,-6.888022313330152876779078,
FUTURES_LONG_BASELINE_1X,YEAR,2023,LOW_COST,-0.7966028345659191121082428621,-79.66028345659191121082428621,-73.83520149024430642857142910,4,4.839963736767959290892857143,-0.985118229579645491360000,
FUTURES_LONG_BASELINE_1X,YEAR,2023,BASE_COST,-0.9082122044430904561014714339,-90.82122044430904561014714339,-80.20584580109252142857142909,4,9.634779126704236009285714285,-0.980595516512288172290000,
FUTURES_LONG_BASELINE_1X,YEAR,2023,HIGH_COST,-1.128360457687287112670114291,-112.8360457687287112670114291,-92.77248153009914571428571480,4,19.09186872108185925428571428,-0.971695517547706298440000,
FUTURES_LONG_BASELINE_1X,YEAR,2023,STRESS_COST,-1.557207921385109578864100005,-155.7207921385109578864100005,-117.2615499367117600000000005,4,37.50455226834129535999999999,-0.954689933457902526410000,
FUTURES_LONG_BASELINE_1X,YEAR,2024,LOW_COST,1.543924321326283425077933388,154.3924321326283425077933388,164.9736669292935549999999998,4,4.791494708277376708749999999,-5.789740088387835783456661,
FUTURES_LONG_BASELINE_1X,YEAR,2024,BASE_COST,1.428261338495189848789677735,142.8261338495189848789677735,158.0845719346487014285714283,4,9.510672876483482650714285715,-5.747765208646233898889369,
FUTURES_LONG_BASELINE_1X,YEAR,2024,HIGH_COST,1.173877395172883646430247856,117.3877395172883646430247856,141.6707239428061485714285713,4,18.65631977754307202857142857,-5.626664647974711899832357,
FUTURES_LONG_BASELINE_1X,YEAR,2024,STRESS_COST,0.6937908386650346995898818555,69.37908386650346995898818555,110.7155301261017714285714285,4,35.93736100985601218285714286,-5.399085249742289286726100,
FUTURES_LONG_BASELINE_1X,YEAR,2025,LOW_COST,3.590177323912740530294283529,359.0177323912740530294283529,385.8335886204562000000000007,12,15.10969272943627395999999999,-11.706163499745873010571648,
FUTURES_LONG_BASELINE_1X,YEAR,2025,BASE_COST,3.191130996791833010173534274,319.1130996791833010173534274,360.6637805411689514285714291,12,29.95178538684694002571428571,-11.598895475138710385503716,
FUTURES_LONG_BASELINE_1X,YEAR,2025,HIGH_COST,2.413359535586644971064181507,241.3359535586644971064181507,311.5600930165717400000000007,12,58.83849227314986446000000000,-11.385647184757378433581850,
FUTURES_LONG_BASELINE_1X,YEAR,2025,STRESS_COST,0.9394046005060423524048795844,93.94046005060423524048795844,218.5496393871412914285714293,12,113.6285540579240944228571429,-10.980625278612961765226328,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-1,LOW_COST,-1.341375363528823038989571434,-134.1375363528823038989571434,-129.8256258812754357142857149,2,2.460575838723900441071428571,-1.851334632882967743600000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-1,BASE_COST,-1.399698484949129778885542863,-139.9698484949129778885542863,-133.2008023137168528571428577,2,4.918727317097308813571428571,-1.850318864098816217840000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-1,HIGH_COST,-1.516171433629951971136357149,-151.6171433629951971136357149,-139.9410828565329828571428577,2,9.827770282915232137142857143,-1.848290223546982119350000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-1,STRESS_COST,-1.748426373117090200559714292,-174.8426373117090200559714292,-153.3814846626491371428571434,2,19.61690814085853980571428571,-1.844244508201343107400000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-2,LOW_COST,-1.341375363528823038989571434,-134.1375363528823038989571434,-129.8256258812754357142857149,2,2.460575838723900441071428571,-1.851334632882967743600000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-2,BASE_COST,-1.399698484949129778885542863,-139.9698484949129778885542863,-133.2008023137168528571428577,2,4.918727317097308813571428571,-1.850318864098816217840000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-2,HIGH_COST,-1.516171433629951971136357149,-151.6171433629951971136357149,-139.9410828565329828571428577,2,9.827770282915232137142857143,-1.848290223546982119350000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-2,STRESS_COST,-1.748426373117090200559714292,-174.8426373117090200559714292,-153.3814846626491371428571434,2,19.61690814085853980571428571,-1.844244508201343107400000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-3,LOW_COST,-0.7839564089380553306248571465,-78.39564089380553306248571465,-75.92858279322242857142857179,1,1.224050111413508392857142857,-1.243007989169596098200000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-3,BASE_COST,-0.8128082207638347343843142894,-81.28082207638347343843142894,-77.59208541492031428571428608,1,2.446531680323948642857142857,-1.242204981139210509860000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-3,HIGH_COST,-0.8704000918802921777499000036,-87.04000918802921777499000036,-80.91260896614780000000000036,1,4.88679879340716900000000,-1.240601428474248774990000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-3,STRESS_COST,-0.9851383883957181352034000036,-98.51383883957181352034000036,-87.52781917474960000000000036,1,9.74861556184901600000000,-1.237404102973197520340000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-4,LOW_COST,-2.695767471686809190790877102,-269.5767471686809190790877102,-265.8811230447980357142857137,3,3.229534362042929948571428572,-0.466089761839953416230568,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-4,BASE_COST,-2.764156186924468811534427150,-276.4156186924468811534427150,-269.5097576015698642857142851,3,6.442101913390004327857142858,-0.463759177487012539871287,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-4,HIGH_COST,-2.899991563892851717015461497,-289.9991563892851717015461497,-276.7227323147459228571428566,3,12.81724297487394259714285714,-0.459181099665306247260436,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-4,STRESS_COST,-3.143879917267325844779557776,-314.3879917267325844779557776,-288.7569642031685142857142851,3,25.17424849279510553142857143,-0.456779030768964660812921,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-5,LOW_COST,1.165629031423484088590282455,116.5629031423484088590282455,126.9504379339611142857142881,8,8.912959036515275733571428572,-1.474575755097429693114614,STRESS_COLLAPSE
FUTURES_LONG_BASELINE_1X,ROLLING,90D-5,BASE_COST,0.9154719574452083695499903840,91.5471957445208369549990384,110.7256770470882900000000024,8,17.71431783569670135500000000,-1.464163466870751690000964,STRESS_COLLAPSE
FUTURES_LONG_BASELINE_1X,ROLLING,90D-5,HIGH_COST,0.4252331478052017327249130380,42.5233147805201732724913038,78.9596688127631457142857165,8,34.99253734949017806571428572,-1.443816682752794376080127,STRESS_COLLAPSE
FUTURES_LONG_BASELINE_1X,ROLLING,90D-5,STRESS_COST,-0.4923230887293312903275421830,-49.2323088729331290327542183,20.3093837251567771428571451,8,68.13008327808036523428571430,-1.411609320009540941325649,STRESS_COLLAPSE
FUTURES_LONG_BASELINE_1X,ROLLING,90D-6,LOW_COST,-0.6045269950222704410687761171,-60.45269950222704410687761171,-44.44021662359165357142856784,10,11.29788545075702579410714286,-4.714597427878364741341901,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-6,BASE_COST,-0.8969568989288990494250520128,-89.69568989288990494250520128,-62.57914501967817142857142504,10,22.44882835195849250428571428,-4.667716521253241009648062,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-6,HIGH_COST,-1.470038997710018673652612667,-147.0038997710018673652612667,-98.10351334895567142857142517,10,44.32385088357494988857142858,-4.576535538471246048118413,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-6,STRESS_COST,-2.547378152627066021684505034,-254.7378152627066021684505034,-164.0525407151651371428571396,10,86.27397284469651292571428573,-4.411301702844952099879078,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-7,LOW_COST,2.091240476664538749722100986,209.1240476664538749722100986,221.4409064212063821428571459,7,8.068351088714095845535714286,-4.248507666038411325111333,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-7,BASE_COST,1.867199287995569762109375137,186.7199287995569762109375137,206.9306125818916928571428601,7,16.00672643856848817642857142,-4.203957343766228469776775,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-7,HIGH_COST,1.429952566182833043362848830,142.9952566182833043362848830,178.6192189657902514285714314,7,31.50660790870100729142857144,-4.117354438805939800857977,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-7,STRESS_COST,0.5965017646402598230950527418,59.65017646402598230950527418,124.7044234880033771428571456,7,61.09972435190140739428571430,-3.954522672075987439066157,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-8,LOW_COST,-1.770156026445754529659058572,-177.0156026445754529659058572,-171.3906545575527678571428559,2,2.384926414241750060535714286,-3.240021672780935048227287,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-8,BASE_COST,-1.812428856374107418975042397,-181.2428856374107418975042397,-173.3048220667664614285714274,2,4.734510516261791149285714286,-3.203553054382489319647098,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-8,HIGH_COST,-1.895272145515220406377525705,-189.5272145515220406377525705,-177.0631821617188171428571417,2,9.331313534084771822857142858,-3.132718855718451672038286,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-8,STRESS_COST,-2.055055063897734731356962851,-205.5055063897734731356962851,-184.3619244403219142857142846,2,18.14388956661614769142857143,-2.999692382835411158553429,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-9,LOW_COST,-0.824757819267529658590000,-82.475781926752965859000000,-80.6206680247949600,1,1.20552104662937002,-0.649592855328635839000000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-9,BASE_COST,-0.850339087712780677497500,-85.033908771278067749750000,-81.985275004111080,1,2.40159097730235642,-0.647042789864631329750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-9,HIGH_COST,-0.900939040156035672747500,-90.093904015603567274750000,-84.685873333388560,1,4.76600359349009288,-0.642027088724914394750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-9,STRESS_COST,-1.000219522341462583095000,-100.021952234146258309500000,-89.999054737899840,1,9.39042139396256064,-0.632476102283857669500000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-10,LOW_COST,-0.824757819267529658590000,-82.475781926752965859000000,-80.6206680247949600,1,1.20552104662937002,-0.649592855328635839000000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-10,BASE_COST,-0.850339087712780677497500,-85.033908771278067749750000,-81.985275004111080,1,2.40159097730235642,-0.647042789864631329750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-10,HIGH_COST,-0.900939040156035672747500,-90.093904015603567274750000,-84.685873333388560,1,4.76600359349009288,-0.642027088724914394750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-10,STRESS_COST,-1.000219522341462583095000,-100.021952234146258309500000,-89.999054737899840,1,9.39042139396256064,-0.632476102283857669500000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-11,LOW_COST,-0.824757819267529658590000,-82.475781926752965859000000,-80.6206680247949600,1,1.20552104662937002,-0.649592855328635839000000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-11,BASE_COST,-0.850339087712780677497500,-85.033908771278067749750000,-81.985275004111080,1,2.40159097730235642,-0.647042789864631329750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-11,HIGH_COST,-0.900939040156035672747500,-90.093904015603567274750000,-84.685873333388560,1,4.76600359349009288,-0.642027088724914394750000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-11,STRESS_COST,-1.000219522341462583095000,-100.021952234146258309500000,-89.999054737899840,1,9.39042139396256064,-0.632476102283857669500000,
FUTURES_LONG_BASELINE_1X,ROLLING,90D-12,LOW_COST,-0.6198393419641853334428571470,-61.98393419641853334428571470,-60.78376339607281857142857184,1,1.200170800345714772857142857,0,
