configuration,regime,period,candle_count,signal_count,entry_count,long_entries,short_entries,net_pnl,mean_trade_pnl,median_trade_pnl,win_rate_percent,expectancy,maximum_drawdown_percent,exposure_percent,fees,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_SHORT_MIRRORED_1X,RANGING,ALL,33787,0,7,0,7,-92.96419012553915181822374224,-13.28059858936273597403196318,-55.66380088892041847793130014,28.57142857142857142857142857,-13.28059858936273597403196318,1.876505996820540771687861510,3.622695119424630775150205700,16.02777221299840039571428572,0.265154597953640006061972,53.63744230338945920007791458,100,100,-261.4673849494052300482237420,-407.1163711164996738660031660,-407.1163711164996738660031660,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,ALL,50,0,1,0,1,192.7940400087060286114285712,192.7940400087060286114285712,192.7940400087060286114285712,100,192.7940400087060286114285712,0,18.00,1.107811662884908531428571428,0,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,TRENDING_UP,2022,151,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,2022,395,40,34,0,34,258.5361923819143387640745143,7.604005658291598198943368068,-82.6652241333125717674786827,38.23529411764705882352941176,7.604005658291598198943368068,5.634761790110354946798517823,72.65822784810126582278481013,75.90020493865945986642857144,-3.966361933746428512354057,8.830541825541552880230251553,26.21284224690840717834753806,43.36839961544987573993116033,53.1007353802579567101663188,-351.2845108879785920726767803,-750.3947623031923882619926967,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,RANGING,2022,8083,0,5,0,5,16.7415948031308359568504157,3.34831896062616719137008314,-78.26908035158154773571428543,40.0,3.34831896062616719137008314,1.876505996820540771687861510,7.447729803290857354942471855,11.04885011799921696142857143,0.475354588501815775421844,53.63744230338945920007791458,100,100,-151.7616000207352422731495841,-297.4105861878296860909290081,-297.4105861878296860909290081,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2022,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,2022,31,0,0,0,0,0,,,,,0,9.677419354838709677419354839,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_UP,2023,45,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,2023,12,2,1,0,1,-92.00008485714502112286970706,-92.00008485714502112286970706,-92.00008485714502112286970706,0,-92.00008485714502112286970706,0.9200008485714502112286970700,41.66666666666666666666666667,2.613542410032003955714285714,0.059409718913294261416008,0,0,0,-92.00008485714502112286970706,-92.00008485714502112286970706,-92.00008485714502112286970706,
FUTURES_SHORT_MIRRORED_1X,RANGING,2023,8703,0,1,0,1,-54.04198403974956929714285780,-54.04198403974956929714285780,-54.04198403974956929714285780,0,-54.04198403974956929714285780,0.5404198403974956929714285800,0.3906698839480638860163162128,2.571288685865091342857142858,-0.532158291949552240000000,0,0,0,-54.04198403974956929714285780,-54.04198403974956929714285780,-54.04198403974956929714285780,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_UP,2024,80,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
