configuration,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning,window_days,step_days
FUTURES_LONG_BASELINE_1X,90D-1,2022-01-05T04:00:00+00:00,2022-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.399698484949129778885542863,-1.332008023137168528571428577,-139.9698484949129778885542863,-133.2008023137168528571428577,2,2,0,0,0E+25,-69.98492424745648894427714315,-69.98492424745648894427714315,1.399698484949129778885542860,3.446601941747572815533980583,0,4.918727317097308813571428571,1.850318864098816217840000,0,-1.850318864098816217840000,0,False,False,2,2,0,0,0,"{""RANGING"": 1939, ""TRENDING_DOWN"": 101, ""TRENDING_UP"": 20}",0,0,0,-139.9698484949129778885542863,-139.9698484949129778885542863,-139.9698484949129778885542863,,90,30
FUTURES_LONG_BASELINE_1X,90D-2,2022-01-31T00:00:00+00:00,2022-04-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.399698484949129778885542863,-1.332008023137168528571428577,-139.9698484949129778885542863,-133.2008023137168528571428577,2,2,0,0,0E+25,-69.98492424745648894427714315,-69.98492424745648894427714315,1.399698484949129778885542860,3.287037037037037037037037037,0,4.918727317097308813571428571,1.850318864098816217840000,0,-1.850318864098816217840000,0,False,False,2,2,0,0,0,"{""RANGING"": 2103, ""TRENDING_DOWN"": 37, ""TRENDING_UP"": 20}",0,0,0,-139.9698484949129778885542863,-139.9698484949129778885542863,-139.9698484949129778885542863,,90,30
FUTURES_LONG_BASELINE_1X,90D-3,2022-03-02T00:00:00+00:00,2022-05-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.8128082207638347343843142894,-0.7759208541492031428571428608,-81.28082207638347343843142894,-77.59208541492031428571428608,1,1,0,0,0E+26,-81.28082207638347343843142894,-81.28082207638347343843142894,0.8128082207638347343843142900,1.805555555555555555555555556,0,2.446531680323948642857142857,1.242204981139210509860000,0,-1.242204981139210509860000,0,False,False,1,1,0,0,0,"{""HIGH_VOLATILITY"": 21, ""RANGING"": 2073, ""TRENDING_DOWN"": 65, ""TRENDING_UP"": 1}",0,0,0,-81.28082207638347343843142894,-81.28082207638347343843142894,-81.28082207638347343843142894,,90,30
FUTURES_LONG_BASELINE_1X,90D-4,2022-04-01T00:00:00+00:00,2022-06-29T23:59:59.999999+00:00,TRADE_EXIT_TIME,-2.764156186924468811534427150,-2.695097576015698642857142851,-276.4156186924468811534427150,-269.5097576015698642857142851,3,3,0,0,0E+25,-92.1385395641489603844809050,-97.73131817592134033488124886,2.764156186924468811534427150,6.064814814814814814814814815,0,6.442101913390004327857142858,0.770107257001591936418609,0.306348079514579396547322,-0.463759177487012539871287,0,False,False,3,3,0,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 1967, ""TRENDING_DOWN"": 140, ""TRENDING_UP"": 22}",0,0,0,-276.4156186924468811534427150,-276.4156186924468811534427150,-276.4156186924468811534427150,,90,30
FUTURES_LONG_BASELINE_1X,90D-5,2022-05-01T00:00:00+00:00,2022-07-29T23:59:59.999999+00:00,TRADE_EXIT_TIME,0.9154719574452083695499903840,1.107256770470882900000000024,91.5471957445208369549990384,110.7256770470882900000000024,8,8,0,37.500,1.197821241732383531628676709,11.4433994680651046193748798,-80.0194896634220587274021016,3.586865312171900083233755710,13.56481481481481481481481481,0,17.71431783569670135500000000,1.770511546385331086548286,0.306348079514579396547322,-1.464163466870751690000964,0,True,False,9,5,3,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 1849, ""TRENDING_DOWN"": 176, ""TRENDING_UP"": 104}",33.93497503588125116879388006,100,100,-96.5627102871979947323470577,-462.7773789245933697299118843,-462.7773789245933697299118843,RESULT_DEPENDS_ON_FEW_TRADES,90,30
FUTURES_LONG_BASELINE_1X,90D-6,2022-05-31T00:00:00+00:00,2022-08-28T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.8969568989288990494250520128,-0.6257914501967817142857142504,-89.69568989288990494250520128,-62.57914501967817142857142504,10,10,0,30.0,0.8607253609420324309135355002,-8.969568989288990494250520128,-80.0194896634220587274021016,3.586865312171900083233755710,17.40740740740740740740740741,0,22.44882835195849250428571428,4.974064600767820406195384,0.306348079514579396547322,-4.667716521253241009648062,0,False,False,9,7,3,0,0,"{""HIGH_VOLATILITY"": 10, ""RANGING"": 1868, ""TRENDING_DOWN"": 170, ""TRENDING_UP"": 112}",33.93497503588125116879388006,100,100,-277.8055959246087366298512974,-644.0202645620041116274161240,-644.0202645620041116274161240,,90,30
FUTURES_LONG_BASELINE_1X,90D-7,2022-06-30T00:00:00+00:00,2022-09-27T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.867199287995569762109375137,2.069306125818916928571428601,186.7199287995569762109375137,206.9306125818916928571428601,7,7,0,42.85714285714285714285714286,1.507936803567530698761852868,26.67427554279385374441964481,-74.67495444013132673463983688,2.724716111571052425342765469,11.34259259259259259259259259,0,16.00672643856848817642857142,4.203957343766228469776775,0,-4.203957343766228469776775,0,True,False,7,4,3,0,0,"{""RANGING"": 1947, ""TRENDING_DOWN"": 122, ""TRENDING_UP"": 91}",33.93497503588125116879388006,100,100,-1.3899772321618554764085824,-367.6046458695572304739734090,-367.6046458695572304739734090,RESULT_DEPENDS_ON_FEW_TRADES,90,30
FUTURES_LONG_BASELINE_1X,90D-8,2022-07-30T00:00:00+00:00,2022-10-27T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.812428856374107418975042397,-1.733048220667664614285714274,-181.2428856374107418975042397,-173.3048220667664614285714274,2,2,0,0,0E+25,-90.62144281870537094875211985,-90.62144281870537094875211985,1.812428856374107418975042400,5.648148148148148148148148148,0,4.734510516261791149285714286,3.203553054382489319647098,0,-3.203553054382489319647098,0,False,False,2,2,0,0,0,"{""RANGING"": 2058, ""TRENDING_DOWN"": 75, ""TRENDING_UP"": 27}",0,0,0,-181.2428856374107418975042397,-181.2428856374107418975042397,-181.2428856374107418975042397,,90,30
FUTURES_LONG_BASELINE_1X,90D-9,2022-08-29T00:00:00+00:00,2022-11-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.850339087712780677497500,-0.819852750041110800,-85.033908771278067749750000,-81.985275004111080,1,1,0,0,0E+24,-85.033908771278067749750000,-85.033908771278067749750000,0.850339087712780677497500,2.175925925925925925925925926,0,2.40159097730235642,0.647042789864631329750000,0,-0.647042789864631329750000,0,False,False,1,1,0,0,0,"{""RANGING"": 2081, ""TRENDING_DOWN"": 61, ""TRENDING_UP"": 18}",0,0,0,-85.033908771278067749750000,-85.033908771278067749750000,-85.033908771278067749750000,,90,30
FUTURES_LONG_BASELINE_1X,90D-10,2022-09-28T00:00:00+00:00,2022-12-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.850339087712780677497500,-0.819852750041110800,-85.033908771278067749750000,-81.985275004111080,1,1,0,0,0E+24,-85.033908771278067749750000,-85.033908771278067749750000,0.850339087712780677497500,2.175925925925925925925925926,0,2.40159097730235642,0.647042789864631329750000,0,-0.647042789864631329750000,0,False,False,1,1,0,0,0,"{""RANGING"": 2110, ""TRENDING_DOWN"": 32, ""TRENDING_UP"": 18}",0,0,0,-85.033908771278067749750000,-85.033908771278067749750000,-85.033908771278067749750000,,90,30
