configuration,period_type,period,side,trades,net_pnl,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q3,LONG,7,186.7199287995569762109375137,33.93497503588125116879388006,100,100,-1.3899772321618554764085824,-367.6046458695572304739734090,-367.6046458695572304739734090,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q3,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q4,ALL,1,-85.033908771278067749750000,0,0,0,-85.033908771278067749750000,-85.033908771278067749750000,-85.033908771278067749750000,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q4,LONG,1,-85.033908771278067749750000,0,0,0,-85.033908771278067749750000,-85.033908771278067749750000,-85.033908771278067749750000,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q4,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q1,ALL,3,-21.09417208151122509157571444,100,100,100,-129.6958237394459025814285722,-129.6958237394459025814285722,-129.6958237394459025814285722,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q1,LONG,3,-21.09417208151122509157571444,100,100,100,-129.6958237394459025814285722,-129.6958237394459025814285722,-129.6958237394459025814285722,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q1,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q2,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q2,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q2,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q3,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q3,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q3,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q4,ALL,1,-69.72704836279782051857142895,0,0,0,-69.72704836279782051857142895,-69.72704836279782051857142895,-69.72704836279782051857142895,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q4,LONG,1,-69.72704836279782051857142895,0,0,0,-69.72704836279782051857142895,-69.72704836279782051857142895,-69.72704836279782051857142895,
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q4,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q1,ALL,1,-100.6607958786138267814285716,0,0,0,-100.6607958786138267814285716,-100.6607958786138267814285716,-100.6607958786138267814285716,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q1,LONG,1,-100.6607958786138267814285716,0,0,0,-100.6607958786138267814285716,-100.6607958786138267814285716,-100.6607958786138267814285716,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q1,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q2,ALL,1,178.2597641695825112572548019,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q2,LONG,1,178.2597641695825112572548019,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q2,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q3,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q3,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q3,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q4,ALL,2,65.22716555855030040314154323,100,100,100,-59.22752647053885416928696697,-59.22752647053885416928696697,-59.22752647053885416928696697,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q4,LONG,2,65.22716555855030040314154323,100,100,100,-59.22752647053885416928696697,-59.22752647053885416928696697,-59.22752647053885416928696697,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q4,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q1,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q1,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q1,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q2,ALL,6,232.0032274459072870380630684,37.69039335547817855209895446,100,100,42.4892778185083365137773539,-270.8144211787486876419186873,-270.8144211787486876419186873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q2,LONG,6,232.0032274459072870380630684,37.69039335547817855209895446,100,100,42.4892778185083365137773539,-270.8144211787486876419186873,-270.8144211787486876419186873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q2,SHORT,0,0,0,0,0,0,0,0,
