timestamp,market,mode,side,regime,short_ema,long_ema,close,previous_close,atr,atr_relative,volume_ratio,pullback_age,pullback_depth_atr,entry_extension_atr,trend_persistence,regime_matched,ema_alignment,price_long_ema_side,pullback_started,pullback_age_valid,pullback_depth_min,pullback_depth_max,long_ema_not_crossed,resumption_cross,directional_close_confirmation,entry_extension_valid,volume_valid,volatility_valid,first_failure_code,all_failure_codes,hypothetical_signal_without_failed_rule
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T03:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1545.590306364327942803937947,1503.105190438513423629720948,1561.72000000,1546.27000000,31.62571428571428571428571429,0.02025056622551692090405816298,0.6478612770378442307757234194,4,0.6484544329576687167589119751,1.853390852517869882518535387,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T03:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1545.590306364327942803937947,1503.105190438513423629720948,1561.72000000,1546.27000000,31.62571428571428571428571429,0.02025056622551692090405816298,0.6478612770378442307757234194,4,0.6484544329576687167589119751,1.853390852517869882518535387,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T04:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1547.164562901058614917848619,1505.419496695826622703065225,1562.12000000,1561.72000000,30.68642857142857142857142857,0.01964409172882273540353585420,0.5414676795878142754007729567,5,0.6484544329576687167589119751,1.847738754354943511922643444,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T05:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1549.189842624767318259005893,1507.890496825402049263729334,1568.43000000,1562.12000000,28.87642857142857142857142857,0.01841104070403433460758301523,0.4791844669474598033791270502,6,0.6484544329576687167589119751,2.096502447484036189447125248,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,LONG,RANGING,1543.892443876362463099089310,1500.712749231922134798280987,1546.27000000,1539.68000000,32.42000000,0.02096658410238832804102776359,0.4535839318867139438359910563,3,0.6484544329576687167589119751,1.405220566566251240028347101,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
