timestamp,market,mode,variant_id,period,side,signal_created,first_failure_code,declaration,return_after_1_candles_percent,return_after_3_candles_percent,return_after_6_candles_percent,return_after_12_candles_percent,return_after_24_candles_percent,mfe_percent,mae_percent
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,CALIBRATION_BASE,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,EXTENSION_1_5,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T03:59:59.999000+00:00,SPOT,LONG,EXTENSION_1_5,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.025612785902722639141459400,0.530824987833926696206746400,-0.7203596035140742258535460900,2.228952693184437671285505700,-4.722997720462054657685116410,3.757395691929411162052096400,-5.089900878518556463386522550
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T03:59:59.999000+00:00,SPOT,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.025612785902722639141459400,0.530824987833926696206746400,-0.7203596035140742258535460900,2.228952693184437671285505700,-4.722997720462054657685116410,3.757395691929411162052096400,-5.089900878518556463386522550
2022-07-20T04:59:59.999000+00:00,SPOT,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.403938237779427956879113000,-1.988323560289862494558676670,1.956315775996722402888382500,-0.2701456994341023736972831800,-4.922797224284946098891250350,3.730827337208409085089493800,-6.309374439863774870048395770
2022-07-20T05:59:59.999000+00:00,SPOT,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.100737680355514750419209000,-2.297839240514399750068539880,2.198376720669714300287548700,-1.469622488730768985546055610,-4.867287669835440536077478750,3.313504587389937708409046000,-6.686304138533437896495221340
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,NO_MINIMUM_DEPTH,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,VOLUME_RELAXED,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,PERSISTENCE_2,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T02:59:59.999000+00:00,SPOT,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.999178668667179729284019000,1.433126168133637721743291900,-0.8976440078382171289619536000,3.851849935651600302663829700,-3.720566265917336558298356690,4.794117456847769147690894900,-4.012235896706267340115245070
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,CALIBRATION_BASE,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,EXTENSION_1_5,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T03:59:59.999000+00:00,FUTURES,LONG,EXTENSION_1_5,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.016655456263412446750584500,0.497101310015694564555907900,-0.7405272092501841709106050400,2.227987572467249607635886100,-4.702604016527337369078504850,3.776304410492937445949841500,-5.384196534383908266871656900
