segment,regime,candle_count,eligible_candle_count,signal_count,entry_count,closed_trade_count,win_rate,net_return,profit_factor,expectancy,mfe,mae,drawdown,exposure,costs,hold_reasons,exit_reasons
development,RANGING,3215,3215,0,0,0,,0,,,,,0.2816075314416241566944982912,0.1307837390843610653648743652,0,"POSITION_ALREADY_OPEN,REGIME_NOT_UP",
development,TRENDING_DOWN,95,95,0,0,0,,0,,,,,0.2816075314416241566944982912,0.1307837390843610653648743652,0,REGIME_NOT_UP,
development,TRENDING_UP,64,64,29,5,0,,0,,,,,0.2816075314416241566944982912,0.1307837390843610653648743652,0,"POSITION_ALREADY_OPEN,VOLUME_TOO_LOW",
validation,RANGING,842,842,0,0,0,,0,,,,,0.2744575438755462013691206859,0.2060374883553105431359713223,0,"POSITION_ALREADY_OPEN,REGIME_NOT_UP",
validation,TRENDING_DOWN,17,17,0,0,0,,0,,,,,0.2744575438755462013691206859,0.2060374883553105431359713223,0,REGIME_NOT_UP,
validation,TRENDING_UP,9,9,1,1,0,,0,,,,,0.2744575438755462013691206859,0.2060374883553105431359713223,0,"POSITION_ALREADY_OPEN,VOLUME_TOO_LOW",
