reason_code,count,percent,horizon_candles,future_return_mean,maximum_favorable_movement_mean,maximum_adverse_movement_mean,regimes,post_event_only
POSITION_ALREADY_OPEN,101,0.4795821462488129154795821462,1,0.0009720658339877412572780828129,0.007164655102012135929715565819,-0.006385533761729128073106116326,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,101,0.4795821462488129154795821462,3,0.003171512647037680890094488052,0.01489081145161226389511485061,-0.01032025562761422843176341145,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,101,0.4795821462488129154795821462,6,0.004451326044099488974073169927,0.02168970444231871995642532165,-0.01414993097572088603102106576,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,101,0.4795821462488129154795821462,12,0.004519512735768838776816219293,0.03079300086164753352097942202,-0.01955325737702142931920986807,"RANGING,TRENDING_UP",True
POSITION_ALREADY_OPEN,101,0.4795821462488129154795821462,24,0.002220160784819089293410041710,0.04357689599338990200462055592,-0.03442574346610901527037804462,"RANGING,TRENDING_UP",True
REGIME_NOT_UP,4104,19.48717948717948717948717949,1,-0.00008245049604262128429140970246,0.005629408757826414505400599557,-0.005855062200089023566757598767,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,4104,19.48717948717948717948717949,3,-0.0002599270366258588725624817161,0.009806417967303182857973457510,-0.01066564803947031868136970117,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,4104,19.48717948717948717948717949,6,-0.0004984351869488549991424666094,0.01406712371443568690349118443,-0.01567526969276622364391619521,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,4104,19.48717948717948717948717949,12,-0.0009213130918923885430201364860,0.02037752345795634346845574924,-0.02323801721906310158587253960,"RANGING,TRENDING_DOWN",True
REGIME_NOT_UP,4104,19.48717948717948717948717949,24,-0.001431643751420941949854651003,0.02959140696061557629753412501,-0.03398821384405289619289547775,"RANGING,TRENDING_DOWN",True
VOLUME_TOO_LOW,7,0.03323836657169990503323836657,1,-0.0040338948527935640073670731,0.005323619220373191897610996714,-0.01128180787051239789402514841,TRENDING_UP,True
VOLUME_TOO_LOW,7,0.03323836657169990503323836657,3,-0.006928580186496655319006446514,0.008239368143531383556032501429,-0.01897078455450279958607435657,TRENDING_UP,True
VOLUME_TOO_LOW,7,0.03323836657169990503323836657,6,-0.02304118956113473598020737823,0.008644131164052250737630512143,-0.03345386224410106502584835997,TRENDING_UP,True
VOLUME_TOO_LOW,7,0.03323836657169990503323836657,12,-0.04074451578400477205645764364,0.008644131164052250737630512143,-0.05310539726176568399595529033,TRENDING_UP,True
VOLUME_TOO_LOW,7,0.03323836657169990503323836657,24,-0.1045608000941294104833308669,0.01321389522022600018794908814,-0.1240521106127060844136323083,TRENDING_UP,True
