scope,total_candles_evaluated,eligible_after_warmup,trending_up,ema_confirmed,volume_confirmed,volatility_acceptable,risk_reward_acceptable,buy_signals,risk_approved,orders_executed,closed_trades,eligible_after_warmup_percent,trending_up_percent,ema_confirmed_percent,volume_confirmed_percent,volatility_acceptable_percent,risk_reward_acceptable_percent,buy_signals_percent,risk_approved_percent,orders_executed_percent
all_segments,4242,4242,73,2043,1504,4231,30,30,6,6,6,100,1.720886374351720886374351721,48.16124469589816124469589816,35.45497406883545497406883545,99.74068835454974068835454974,0.7072135785007072135785007072,0.7072135785007072135785007072,0.1414427157001414427157001414,0.1414427157001414427157001414
development,3374,3374,64,1599,1185,3363,29,29,5,5,5,100,1.896858328393598103141671606,47.39181979845880260818020154,35.12151748666271487848251334,99.67397747480735032602252519,0.8595139300533491404860699467,0.8595139300533491404860699467,0.1481920569057498518079430943,0.1481920569057498518079430943
validation,868,868,9,444,319,868,1,1,1,1,1,100,1.036866359447004608294930876,51.15207373271889400921658986,36.75115207373271889400921659,100,0.1152073732718894009216589862,0.1152073732718894009216589862,0.1152073732718894009216589862,0.1152073732718894009216589862
