fold,scenario,net_return,final_capital,total_costs,trade_count,drawdown,difference_against_base,status,warning
development,LOW_COST,0.6793414953531477044400,10067.9341495353147704440,5.990207217532605556000000000,5,0.2700719106489112913354929186,0.07125610772916548917600,POSITIVE,
development,BASE_COST,0.60808538762398221526400,10060.8085387623982215264,11.97668918075924527360000000,5,0.2816075314416241566944982912,0E-23,POSITIVE,
development,HIGH_COST,0.46679186841981875625600,10046.6791868419818756256,23.93749941859321797440000000,5,0.3098465239279459468336137148,-0.14129351920416345900800,POSITIVE,
development,STRESS_COST,0.19576972935995936028800,10019.5769729359959360288,47.82672470884602787120000000,5,0.3611593024677492509113711456,-0.41231565826402285497600,POSITIVE,
validation,LOW_COST,-0.1611043169268559311900,9983.889568307314406881,1.155051598604812119000000000,1,0.2679006552002604912501945896,0.0133006193572783401900,NEGATIVE,
validation,BASE_COST,-0.1744049362841342713800,9982.559506371586572862,2.310113543475696138000000000,1,0.2744575438755462013691206859,0E-22,NEGATIVE,
validation,HIGH_COST,-0.2010064853866731087600,9979.899351461332689124,4.620268472015679876000000000,1,0.2875638259212768092560315209,-0.0266015491025388373800,NEGATIVE,
validation,STRESS_COST,-0.2542108251436794115200,9974.578917485632058848,9.240702484288510152000000000,1,0.3137464138574042859407768079,-0.0798058888595451401400,NEGATIVE,
CONSOLIDATED,LOW_COST,0.2591185892131458866250,,7.145258816137417675000000000,6,0.2700719106489112913354929186,,POSITIVE,
CONSOLIDATED,BASE_COST,0.21684022566992397194200,,14.28680272423494141160000000,6,0.2816075314416241566944982912,,POSITIVE,
CONSOLIDATED,HIGH_COST,0.13289269151657282374800,,28.55776789060889785040000000,6,0.3098465239279459468336137148,,POSITIVE,COST_SENSITIVITY_HIGH
CONSOLIDATED,STRESS_COST,-0.02922054789186002561600,,57.06742719313453802320000000,6,0.3611593024677492509113711456,,NEGATIVE,COST_SENSITIVITY_HIGH
