segment,scenario,entry_rules,exit_rules,net_return,closed_trades,drawdown,costs,warning
development,CURRENT,CURRENT,CURRENT,0.60808538762398221526400,5,0.2816075314416241566944982912,11.97668918075924527360000000,
development,TIME_EXIT_6,CURRENT,TIME_EXIT_6,0.11918640100045071455200,6,0.2931728321628790199355349407,14.18170177131265094480000000,
development,TIME_EXIT_12,CURRENT,TIME_EXIT_12,0.82074035285338206421400,6,0.2424129515231911172683096166,14.41529913592557287860000000,
development,TIME_EXIT_24,CURRENT,TIME_EXIT_24,0.75066618306192060835600,6,0.2572633525459135090247931988,14.39267427574258953240000000,
development,TIME_EXIT_48,CURRENT,TIME_EXIT_48,0.60808538762398221526400,5,0.2816075314416241566944982912,11.97668918075924527360000000,
development,STOP_1.5_TARGET_1.5,CURRENT,STOP_1.5_TARGET_1.5,0,0,0,0,
development,STOP_1.5_TARGET_2.0,CURRENT,STOP_1.5_TARGET_2.0,0.30411090616299850089600,7,0.3263560387533009498743841985,16.60606827042114761040000000,
development,STOP_1.5_TARGET_2.5,CURRENT,STOP_1.5_TARGET_2.5,0.37878119493837072950200,6,0.3263560450568467406865979649,14.26927027139479631980000000,
development,STOP_2.0_TARGET_1.5,CURRENT,STOP_2.0_TARGET_1.5,0,0,0,0,
development,STOP_2.0_TARGET_2.0,CURRENT,STOP_2.0_TARGET_2.0,0.60808538762398221526400,5,0.2816075314416241566944982912,11.97668918075924527360000000,
development,STOP_2.0_TARGET_2.5,CURRENT,STOP_2.0_TARGET_2.5,0.66350816509247797610200,3,0.2816075314416241566944982912,7.250361047523972289800000000,
development,STOP_2.5_TARGET_1.5,CURRENT,STOP_2.5_TARGET_1.5,0,0,0,0,
development,STOP_2.5_TARGET_2.0,CURRENT,STOP_2.5_TARGET_2.0,1.72301256663610183166200,4,0.2819234177785654097536676486,9.951689369698978733799999999,
development,STOP_2.5_TARGET_2.5,CURRENT,STOP_2.5_TARGET_2.5,1.63456164672760381983600,3,0.3335750889558624947136030737,7.549739221751517466399999999,
development,TRAILING_DISABLED,CURRENT,TRAILING_DISABLED,0.60808538762398221526400,5,0.2816075314416241566944982912,11.97668918075924527360000000,
development,BREAK_EVEN_DISABLED,CURRENT,BREAK_EVEN_DISABLED,0.60808538762398221526400,5,0.2816075314416241566944982912,11.97668918075924527360000000,
validation,CURRENT,CURRENT,CURRENT,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
validation,TIME_EXIT_6,CURRENT,TIME_EXIT_6,-0.04466145482200946700,1,0.06266315644015281092740930544,2.3452208599870467,
validation,TIME_EXIT_12,CURRENT,TIME_EXIT_12,-0.08279454864155100300,1,0.1018410035371976958470217824,2.3349024179412003,
validation,TIME_EXIT_24,CURRENT,TIME_EXIT_24,-0.08393284994959701900,1,0.1930564554464461763411438879,2.3345944047458019,
validation,TIME_EXIT_48,CURRENT,TIME_EXIT_48,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
validation,STOP_1.5_TARGET_1.5,CURRENT,STOP_1.5_TARGET_1.5,0,0,0,0,
validation,STOP_1.5_TARGET_2.0,CURRENT,STOP_1.5_TARGET_2.0,-0.1375537018515409951200,1,0.2376432444804609914006183749,2.320085126914030512000000000,
validation,STOP_1.5_TARGET_2.5,CURRENT,STOP_1.5_TARGET_2.5,-0.1375537018515409951200,1,0.2376432444804609914006183749,2.320085126914030512000000000,
validation,STOP_2.0_TARGET_1.5,CURRENT,STOP_2.0_TARGET_1.5,0,0,0,0,
validation,STOP_2.0_TARGET_2.0,CURRENT,STOP_2.0_TARGET_2.0,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
validation,STOP_2.0_TARGET_2.5,CURRENT,STOP_2.0_TARGET_2.5,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
validation,STOP_2.5_TARGET_1.5,CURRENT,STOP_2.5_TARGET_1.5,0,0,0,0,
validation,STOP_2.5_TARGET_2.0,CURRENT,STOP_2.5_TARGET_2.0,-0.2112561706989291308100,1,0.3112718432528508333996797260,2.300141960040928581000000000,
validation,STOP_2.5_TARGET_2.5,CURRENT,STOP_2.5_TARGET_2.5,-0.2112561706989291308100,1,0.3112718432528508333996797260,2.300141960040928581000000000,
validation,TRAILING_DISABLED,CURRENT,TRAILING_DISABLED,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
validation,BREAK_EVEN_DISABLED,CURRENT,BREAK_EVEN_DISABLED,-0.1744049362841342713800,1,0.2744575438755462013691206859,2.310113543475696138000000000,
